02-14,MIN-ORL,89-102,Team,
26-29,18-26,22-24,23-23,
MIN
Wesley Johnson,F,20:52,3,7,0.429,0,2,0.000,0,0,0.000,0,5,5,1,0,2,0,3,6,-6.000
Kevin Love,F,39:32,8,17,0.471,0,2,0.000,3,4,0.750,5,10,15,3,1,0,1,3,19,-14.000
Nikola Pekovic,C,32:33,6,13,0.462,0,0,0.000,4,6,0.667,7,6,13,0,1,1,1,1,16,-2.000
Martell Webster,G,23:18,1,4,0.250,0,0,0.000,3,4,0.750,0,4,4,0,0,0,2,2,5,-9.000
Ricky Rubio,G,39:32,4,7,0.571,1,1,1.000,2,2,1.000,0,3,3,8,0,1,5,3,11,-14.000
Michael Beasley,,26:31,5,13,0.385,2,8,0.250,1,2,0.500,0,2,2,1,1,0,2,0,13,-5.000
Jose Juan Barea,,25:19,4,10,0.400,2,5,0.400,1,3,0.333,0,2,2,1,0,0,7,1,11,-6.000
Derrick Williams,,20:00,1,5,0.200,0,1,0.000,3,4,0.750,1,5,6,0,0,0,0,1,5,-5.000
Darko Milicic,,3:55,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,3,0,-5.000
Wayne Ellington,,8:28,1,4,0.250,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,0,3,1.000
ORL
Hedo Turkoglu,F,32:30,4,12,0.333,2,7,0.286,4,4,1.000,0,6,6,6,2,1,5,2,14,9.000
Ryan Anderson,F,30:21,5,12,0.417,3,8,0.375,0,0,0.000,4,1,5,0,2,0,0,3,13,16.000
Dwight Howard,C,27:50,4,11,0.364,0,0,0.000,3,4,0.750,2,5,7,2,1,0,1,5,11,17.000
Jason Richardson,G,22:52,5,11,0.455,2,6,0.333,5,8,0.625,0,3,3,2,1,1,0,2,17,7.000
Jameer Nelson,G,31:39,6,11,0.545,2,3,0.667,0,0,0.000,0,6,6,2,0,1,0,1,14,10.000
Glen Davis,,22:40,1,10,0.100,0,0,0.000,0,0,0.000,1,4,5,2,1,0,0,2,2,-9.000
Chris Duhon,,16:21,1,2,0.500,1,1,1.000,2,2,1.000,0,0,0,3,0,0,1,1,5,3.000
JJ Redick,,25:08,5,9,0.556,2,5,0.400,2,2,1.000,0,4,4,1,0,0,0,1,14,6.000
Quentin Richardson,,15:30,1,1,1.000,0,0,0.000,2,2,1.000,0,2,2,1,2,0,1,0,4,4.000
Earl Clark,,15:09,4,6,0.667,0,0,0.000,0,0,0.000,1,4,5,1,0,2,1,2,8,2.000
