03-03,LAC-PHX,78-81,Team,
21-17,14-15,17-31,26-18,
LAC
Caron Butler,F,26:06,4,13,0.308,0,1,0.000,1,1,1.000,6,2,8,0,0,1,3,4,9,-5.000
Blake Griffin,F,36:57,6,19,0.316,0,0,0.000,5,5,1.000,0,7,7,1,1,2,0,3,17,-7.000
DeAndre Jordan,C,16:09,1,1,1.000,0,0,0.000,0,0,0.000,2,4,6,0,0,0,0,3,2,-7.000
Randy Foye,G,20:07,1,8,0.125,0,2,0.000,0,0,0.000,0,4,4,0,0,1,1,1,2,-17.000
Chris Paul,G,36:32,6,15,0.400,2,5,0.400,2,3,0.667,0,1,1,5,2,0,2,3,16,-2.000
Kenyon Martin,,25:55,7,11,0.636,0,0,0.000,0,0,0.000,1,7,8,0,3,1,0,4,14,10.000
Mo Williams,,29:55,5,13,0.385,3,4,0.750,0,0,0.000,1,1,2,3,0,0,1,0,13,9.000
Bobby Simmons,,22:03,1,4,0.250,1,4,0.250,0,0,0.000,1,2,3,0,0,0,0,0,3,4.000
Reggie Evans,,16:50,0,2,0.000,0,0,0.000,0,0,0.000,0,3,3,2,0,0,1,3,0,-4.000
Eric Bledsoe,,9:26,1,1,1.000,0,0,0.000,0,0,0.000,2,2,4,2,2,0,2,1,2,4.000
PHX
Grant Hill,F,35:24,6,10,0.600,0,0,0.000,2,6,0.333,1,1,2,3,0,2,0,1,14,10.000
Channing Frye,F,35:19,2,18,0.111,1,4,0.250,1,2,0.500,3,11,14,0,1,1,0,4,6,6.000
Marcin Gortat,C,32:06,6,11,0.545,0,0,0.000,6,10,0.600,5,9,14,2,0,2,1,2,18,23.000
Jared Dudley,G,35:42,7,14,0.500,3,4,0.750,5,6,0.833,4,3,7,4,1,1,0,1,22,14.000
Steve Nash,G,34:17,1,4,0.250,1,3,0.333,3,3,1.000,0,5,5,6,0,1,7,0,6,10.000
Markieff Morris,,15:58,1,8,0.125,1,3,0.333,0,0,0.000,2,2,4,2,0,0,1,4,3,-10.000
Shannon Brown,,17:45,3,7,0.429,0,2,0.000,0,0,0.000,0,2,2,0,0,0,1,0,6,-11.000
Sebastian Telfair,,13:43,1,4,0.250,1,3,0.333,1,2,0.500,0,2,2,2,0,1,2,1,4,-7.000
Robin Lopez,,12:37,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-13.000
Michael Redd,,7:09,0,3,0.000,0,2,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,-7.000
