03-03,SAC-LAL,107-115,Team,
26-31,32-34,16-27,33-23,
SAC
Tyreke Evans,F,23:42,7,14,0.500,0,1,0.000,0,0,0.000,2,3,5,2,0,1,1,1,14,-11.000
Jason Thompson,F,16:48,1,8,0.125,0,0,0.000,1,2,0.500,2,1,3,0,0,0,1,4,3,-5.000
DeMarcus Cousins,C,22:07,5,16,0.313,0,0,0.000,0,0,0.000,7,6,13,1,2,1,0,3,10,-12.000
Marcus Thornton,G,25:08,5,11,0.455,2,4,0.500,3,3,1.000,1,2,3,2,1,0,0,3,15,-16.000
Isaiah Thomas,G,27:28,6,12,0.500,0,2,0.000,2,2,1.000,0,3,3,6,1,0,1,1,14,-11.000
Donte Greene,,32:01,2,10,0.200,1,6,0.167,0,0,0.000,0,4,4,3,0,1,0,1,5,-5.000
Charles Hayes,,24:36,2,3,0.667,0,0,0.000,0,0,0.000,1,3,4,4,1,0,1,5,4,3.000
Jimmer Fredette,,21:00,5,9,0.556,2,4,0.500,0,0,0.000,0,1,1,1,1,0,0,1,12,6.000
John Salmons,,24:18,5,9,0.556,2,3,0.667,0,0,0.000,0,1,1,2,2,0,1,0,12,3.000
Francisco Garcia,,22:52,7,11,0.636,2,5,0.400,2,2,1.000,0,3,3,2,3,1,0,3,18,8.000
LAL
Metta World Peace,F,32:23,5,11,0.455,2,6,0.333,3,3,1.000,0,4,4,3,1,0,1,2,15,9.000
Pau Gasol,F,36:46,6,11,0.545,0,0,0.000,3,4,0.750,0,7,7,4,0,1,3,1,15,6.000
Andrew Bynum,C,40:17,8,13,0.615,0,0,0.000,3,4,0.750,2,13,15,2,0,3,2,1,19,10.000
Kobe Bryant,G,36:49,13,24,0.542,1,2,0.500,11,14,0.786,4,4,8,3,1,1,3,0,38,13.000
Derek Fisher,G,29:30,3,3,1.000,0,0,0.000,0,0,0.000,0,4,4,7,0,1,2,5,6,12.000
Matt Barnes,,16:12,4,9,0.444,2,3,0.667,0,0,0.000,2,0,2,1,0,1,1,1,10,-4.000
Steve Blake,,18:30,0,2,0.000,0,2,0.000,1,1,1.000,0,1,1,4,0,0,1,1,1,-4.000
Troy Murphy,,18:29,1,2,0.500,0,1,0.000,0,0,0.000,0,6,6,0,0,0,0,1,2,3.000
Andrew Goudelock,,11:04,4,7,0.571,1,3,0.333,0,0,0.000,0,1,1,1,0,0,0,1,9,-5.000
