03-06,GSW-WAS,120-100,Team,
41-24,24-27,24-20,31-29,
GSW
Dorell Wright,F,22:54,3,8,0.375,3,5,0.600,0,0,0.000,0,4,4,1,2,0,3,1,9,14.000
David Lee,F,35:54,5,10,0.500,0,0,0.000,3,4,0.750,2,8,10,3,0,1,2,3,13,33.000
Ekpe Udoh,C,27:01,5,10,0.500,0,0,0.000,7,7,1.000,2,4,6,1,0,1,0,5,17,21.000
Dominic McGuire,G,34:29,2,4,0.500,0,0,0.000,0,0,0.000,3,4,7,4,1,2,1,2,4,4.000
Monta Ellis,G,29:12,10,16,0.625,2,4,0.500,3,3,1.000,1,4,5,8,2,0,3,3,25,16.000
Stephen Curry,,9:18,5,7,0.714,2,3,0.667,0,0,0.000,0,1,1,1,1,0,0,1,12,10.000
Nate Robinson,,20:37,3,8,0.375,2,4,0.500,0,0,0.000,1,3,4,5,1,0,1,1,8,10.000
Brandon Rush,,26:58,4,5,0.800,2,2,1.000,0,0,0.000,0,3,3,2,0,0,1,1,10,2.000
Klay Thompson,,20:10,7,14,0.500,4,5,0.800,0,0,0.000,1,1,2,2,0,0,2,4,18,2.000
Andris Biedrins,,9:31,0,0,0.000,0,0,0.000,0,0,0.000,0,3,3,0,0,0,1,3,0,-14.000
Charles Jenkins,,1:58,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,1.000
Chris Wright,,1:58,1,1,1.000,0,0,0.000,2,2,1.000,0,1,1,0,0,0,0,0,4,1.000
WAS
Chris Singleton,F,21:14,1,7,0.143,0,4,0.000,0,0,0.000,2,2,4,2,3,0,1,2,2,-13.000
Trevor Booker,F,27:33,6,10,0.600,0,0,0.000,2,3,0.667,3,1,4,1,1,0,0,2,14,0.000
JaVale McGee,C,26:25,4,9,0.444,0,0,0.000,2,6,0.333,5,5,10,1,0,2,3,4,10,-3.000
Jordan Crawford,G,22:25,2,13,0.154,1,6,0.167,0,0,0.000,1,2,3,2,3,0,3,0,5,-3.000
John Wall,G,38:21,7,10,0.700,0,0,0.000,6,7,0.857,1,5,6,14,1,0,2,2,20,-1.000
Nick Young,,25:35,9,14,0.643,4,6,0.667,3,4,0.750,1,1,2,0,1,0,0,1,25,-17.000
Maurice Evans,,5:26,1,2,0.500,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,1,3,-12.000
Jan Vesely,,22:10,1,3,0.333,0,0,0.000,5,11,0.455,3,6,9,1,0,1,4,2,7,-16.000
Andray Blatche,,13:24,2,6,0.333,0,0,0.000,0,0,0.000,2,2,4,0,0,0,1,1,4,-20.000
Shelvin Mack,,9:53,0,3,0.000,0,0,0.000,1,2,0.500,1,1,2,1,0,0,0,0,1,-20.000
Roger Mason Jr.,,21:20,2,7,0.286,2,5,0.400,1,2,0.500,0,2,2,2,2,0,0,0,7,5.000
Kevin Seraphin,,6:14,1,1,1.000,0,0,0.000,0,1,0.000,0,1,1,1,0,1,0,1,2,0.000
