03-07,ORL-CHA,84-100,Team,
25-15,23-28,23-29,13-28,
ORL
Hedo Turkoglu,F,27:56,2,10,0.200,2,6,0.333,0,0,0.000,1,0,1,1,0,1,4,4,6,-15.000
Ryan Anderson,F,34:53,5,15,0.333,2,10,0.200,2,2,1.000,4,7,11,3,0,1,1,3,14,-17.000
Dwight Howard,C,38:49,6,13,0.462,0,0,0.000,3,8,0.375,7,10,17,0,1,2,4,3,15,-12.000
Jason Richardson,G,21:59,3,10,0.300,1,5,0.200,2,3,0.667,0,1,1,2,0,0,2,4,9,-5.000
Jameer Nelson,G,31:55,3,8,0.375,1,3,0.333,0,0,0.000,0,4,4,4,0,1,1,1,7,-16.000
Quentin Richardson,,21:13,3,4,0.750,2,3,0.667,0,0,0.000,0,0,0,3,1,0,0,0,8,-5.000
Glen Davis,,20:49,3,8,0.375,0,0,0.000,2,4,0.500,1,2,3,0,1,0,2,3,8,3.000
Chris Duhon,,16:05,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,2,1,0,1,2,3,0.000
JJ Redick,,24:52,5,11,0.455,4,7,0.571,0,0,0.000,1,3,4,3,0,0,2,5,14,-7.000
Earl Clark,,1:29,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-6.000
CHA
Corey Maggette,F,29:35,9,17,0.529,1,1,1.000,10,11,0.909,1,6,7,0,1,0,2,4,29,19.000
DJ White,F,21:36,4,8,0.500,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,2,8,-4.000
Bismack Biyombo,C,32:09,2,4,0.500,0,0,0.000,6,10,0.600,6,9,15,0,1,7,2,3,10,11.000
Gerald Henderson,G,37:11,7,16,0.438,0,1,0.000,2,4,0.500,1,3,4,2,3,1,1,3,16,23.000
D.J. Augustin,G,24:00,3,7,0.429,2,3,0.667,0,0,0.000,0,2,2,8,1,0,1,1,8,-4.000
Derrick Brown,,18:25,1,3,0.333,0,0,0.000,0,0,0.000,1,2,3,1,0,0,1,0,2,-3.000
Matt Carroll,,5:42,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,2,-6.000
Tyrus Thomas,,5:58,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,0,0,-6.000
Byron Mullens,,24:45,3,5,0.600,0,0,0.000,2,2,1.000,4,9,13,2,0,0,1,1,8,23.000
Kemba Walker,,29:07,5,12,0.417,0,2,0.000,0,0,0.000,0,0,0,8,1,0,2,1,10,19.000
Eduardo Najera,,11:32,3,5,0.600,1,3,0.333,0,0,0.000,0,2,2,2,1,0,1,0,7,8.000
