03-10,NOH-DEN,97-110,Team,
26-32,20-18,25-29,26-31,
NOH
Trevor Ariza,F,19:47,2,6,0.333,0,0,0.000,4,4,1.000,0,2,2,4,1,0,1,0,8,-5.000
Gustavo Ayon,F,17:58,3,3,1.000,0,0,0.000,0,0,0.000,0,0,0,1,1,0,0,3,6,-2.000
Chris Kaman,C,21:17,5,9,0.556,0,0,0.000,0,0,0.000,1,4,5,2,0,1,2,2,10,-7.000
Marco Belinelli,G,26:11,4,12,0.333,2,6,0.333,2,2,1.000,1,1,2,3,0,0,1,0,12,-10.000
Jarrett Jack,G,32:03,7,14,0.500,1,2,0.500,2,2,1.000,0,1,1,4,1,0,2,1,17,-16.000
Lance Thomas,,30:03,3,6,0.500,0,0,0.000,12,14,0.857,4,1,5,0,1,0,2,2,18,-11.000
Xavier Henry,,24:58,4,14,0.286,0,1,0.000,4,4,1.000,2,3,5,1,2,0,1,4,12,-6.000
Jeff Foote,,23:04,2,3,0.667,0,0,0.000,0,0,0.000,0,4,4,0,0,0,0,2,4,-2.000
Greivis Vasquez,,22:51,0,2,0.000,0,1,0.000,2,2,1.000,0,2,2,8,0,0,1,3,2,-3.000
DEN
Corey Brewer,F,23:18,2,5,0.400,0,1,0.000,2,2,1.000,1,2,3,4,0,0,1,4,6,14.000
Kenneth Faried,F,20:18,4,5,0.800,0,0,0.000,1,2,0.500,2,3,5,0,2,1,2,5,9,-6.000
Nene,C,20:18,5,8,0.625,0,0,0.000,2,2,1.000,3,2,5,4,2,1,3,4,12,12.000
Arron Afflalo,G,36:27,9,13,0.692,4,7,0.571,6,6,1.000,1,1,2,4,1,1,0,2,28,8.000
Ty Lawson,G,41:45,3,7,0.429,0,2,0.000,5,6,0.833,1,3,4,10,1,0,3,2,11,14.000
Al Harrington,,26:20,8,16,0.500,1,6,0.167,3,6,0.500,2,8,10,1,2,0,0,2,20,12.000
Danilo Gallinari,,24:21,3,10,0.300,1,5,0.200,2,4,0.500,0,3,3,2,0,0,1,1,9,-3.000
Andre Miller,,21:52,3,4,0.750,0,1,0.000,1,2,0.500,1,0,1,8,0,0,2,1,7,6.000
Chris Andersen,,21:39,3,3,1.000,0,0,0.000,0,2,0.000,0,2,2,0,1,3,0,3,6,12.000
Jordan Hamilton,,3:42,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-4.000
