03-13,BOS-LAC,94-85,Team,
25-21,14-27,23-13,32-24,
BOS
Brandon Bass,F,29:54,5,6,0.833,0,0,0.000,0,0,0.000,3,6,9,0,0,0,0,6,10,11.000
Paul Pierce,F,31:22,7,16,0.438,3,7,0.429,8,10,0.800,0,3,3,7,0,0,4,3,25,19.000
Kevin Garnett,C,34:23,8,16,0.500,0,0,0.000,5,5,1.000,0,8,8,3,0,2,3,5,21,17.000
Ray Allen,G,40:21,5,12,0.417,2,3,0.667,3,4,0.750,2,2,4,1,1,0,1,2,15,8.000
Rajon Rondo,G,41:27,4,8,0.500,0,0,0.000,4,4,1.000,0,2,2,10,3,0,6,2,12,6.000
Greg Stiemsma,,21:33,1,1,1.000,0,0,0.000,0,0,0.000,1,1,2,1,2,2,0,2,2,-10.000
Avery Bradley,,7:29,2,3,0.667,0,0,0.000,2,2,1.000,0,0,0,1,0,0,0,0,6,7.000
Mickael Pietrus,,28:26,1,5,0.200,0,3,0.000,1,2,0.500,0,3,3,1,2,1,0,4,3,-9.000
Sasha Pavlovic,,0:55,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Keyon Dooling,,4:11,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
LAC
Caron Butler,F,32:33,3,13,0.231,0,2,0.000,1,2,0.500,4,5,9,2,0,0,0,4,7,-1.000
Blake Griffin,F,35:05,9,15,0.600,0,1,0.000,6,8,0.750,3,6,9,4,0,1,2,4,24,-9.000
DeAndre Jordan,C,22:35,3,10,0.300,0,0,0.000,0,0,0.000,8,5,13,0,1,1,0,1,6,0.000
Randy Foye,G,19:29,1,4,0.250,1,3,0.333,0,0,0.000,0,0,0,1,0,0,2,1,3,-10.000
Chris Paul,G,40:25,3,12,0.250,1,5,0.200,7,7,1.000,2,2,4,5,2,0,4,4,14,-12.000
Reggie Evans,,19:52,2,3,0.667,0,0,0.000,0,0,0.000,2,2,4,0,1,0,2,2,4,-6.000
Bobby Simmons,,24:17,2,5,0.400,2,4,0.500,0,0,0.000,1,2,3,0,1,0,1,3,6,-7.000
Mo Williams,,32:50,8,18,0.444,1,8,0.125,4,4,1.000,0,1,1,4,4,0,2,3,21,5.000
Eric Bledsoe,,3:30,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,3,0,-1.000
Kenyon Martin,,9:26,0,3,0.000,0,0,0.000,0,0,0.000,0,2,2,0,1,0,2,1,0,-4.000
