03-14,HOU-OKC,104-103,Team,
23-22,30-31,24-20,27-30,
HOU
Chandler Parsons,F,37:04,9,16,0.563,3,5,0.600,0,0,0.000,2,5,7,6,1,0,0,2,21,3.000
Luis Scola,F,33:43,6,17,0.353,0,0,0.000,6,6,1.000,2,3,5,4,0,0,2,3,18,-8.000
Samuel Dalembert,C,31:23,4,10,0.400,0,0,0.000,0,0,0.000,4,4,8,0,0,3,0,2,8,-5.000
Courtney Lee,G,40:46,8,12,0.667,4,7,0.571,1,1,1.000,0,4,4,1,3,1,1,3,21,-1.000
Goran Dragic,G,37:41,4,11,0.364,1,7,0.143,3,4,0.750,1,5,6,7,2,0,5,3,12,4.000
Patrick Patterson,,24:32,5,12,0.417,0,0,0.000,2,2,1.000,2,1,3,2,1,2,0,2,12,6.000
Chase Budinger,,24:33,4,9,0.444,2,4,0.500,0,1,0.000,0,4,4,2,0,0,2,1,10,9.000
Jonny Flynn,,10:19,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,3,0,0,1,1,2,-3.000
OKC
Kevin Durant,F,37:38,8,18,0.444,4,8,0.500,8,9,0.889,1,11,12,4,1,1,4,1,28,0.000
Serge Ibaka,F,26:15,6,10,0.600,0,0,0.000,0,0,0.000,5,3,8,1,1,2,1,2,12,-2.000
Kendrick Perkins,C,30:19,2,5,0.400,0,0,0.000,0,0,0.000,2,2,4,5,1,0,1,5,4,-6.000
Daequan Cook,G,13:16,1,4,0.250,0,2,0.000,0,0,0.000,0,1,1,0,0,0,0,2,2,-5.000
Russell Westbrook,G,37:37,7,18,0.389,0,3,0.000,5,6,0.833,1,3,4,4,0,0,2,1,19,-2.000
James Harden,,31:30,5,12,0.417,2,6,0.333,4,5,0.800,0,4,4,7,1,0,4,1,16,3.000
Nick Collison,,21:12,2,3,0.667,0,0,0.000,0,2,0.000,3,4,7,0,0,0,1,0,4,6.000
Nazr Mohammed,,15:20,5,8,0.625,0,0,0.000,0,0,0.000,3,3,6,0,0,1,0,2,10,5.000
Reggie Jackson,,10:24,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,1,0,0,1,0,3,1.000
Royal Ivey,,16:30,2,3,0.667,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,2,5,-5.000
