03-15,LAL-NOH,107-101,Team,
20-28,20-26,30-16,23-23,14-8,
LAL
Metta World Peace,F,30:55,2,6,0.333,1,3,0.333,0,2,0.000,0,1,1,2,0,0,0,1,5,4.000
Pau Gasol,F,36:56,7,17,0.412,0,1,0.000,4,5,0.800,5,5,10,3,0,0,6,3,18,5.000
Andrew Bynum,C,41:23,10,17,0.588,0,0,0.000,5,7,0.714,5,11,16,4,1,2,3,2,25,3.000
Kobe Bryant,G,43:38,8,20,0.400,2,8,0.250,8,8,1.000,1,3,4,5,2,0,4,1,26,2.000
Derek Fisher,G,30:12,2,6,0.333,1,3,0.333,3,3,1.000,0,2,2,4,3,0,1,2,8,7.000
Troy Murphy,,13:17,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,1,0,1,2,0,-8.000
Steve Blake,,17:48,1,4,0.250,0,2,0.000,1,2,0.500,0,1,1,2,2,0,2,3,3,-7.000
Matt Barnes,,17:22,3,5,0.600,1,2,0.500,1,1,1.000,0,4,4,1,0,0,1,2,8,-4.000
Jason Kapono,,4:22,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,-2.000
Josh McRoberts,,4:07,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
NOH
Trevor Ariza,F,38:36,3,11,0.273,0,2,0.000,1,1,1.000,2,3,5,3,3,1,2,2,7,-2.000
Gustavo Ayon,F,29:30,2,3,0.667,0,0,0.000,0,0,0.000,1,1,2,4,0,1,1,4,4,-2.000
Chris Kaman,C,40:19,8,18,0.444,0,0,0.000,3,4,0.750,2,8,10,3,1,0,4,4,19,-5.000
Marco Belinelli,G,28:23,4,9,0.444,2,4,0.500,0,0,0.000,0,1,1,2,0,1,0,1,10,-6.000
Jarrett Jack,G,33:51,11,18,0.611,0,1,0.000,4,4,1.000,0,3,3,5,1,2,0,3,26,1.000
Lance Thomas,,15:27,3,3,1.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,1,1,6,1.000
Greivis Vasquez,,16:53,6,7,0.857,1,1,1.000,2,2,1.000,0,3,3,6,1,0,2,4,15,0.000
Xavier Henry,,6:07,0,2,0.000,0,0,0.000,0,2,0.000,0,1,1,0,0,1,1,1,0,-1.000
Jeff Foote,,7:18,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,1,2,0,5.000
