04-07,CHA-MIL,90-95,Team,
30-28,22-25,16-19,22-23,
CHA
Derrick Brown,F,33:31,5,8,0.625,0,0,0.000,1,5,0.200,2,7,9,1,1,0,3,2,11,-5.000
Byron Mullens,F,42:34,14,23,0.609,1,4,0.250,2,2,1.000,9,5,14,2,0,2,4,3,31,6.000
Bismack Biyombo,C,35:22,6,9,0.667,0,0,0.000,2,5,0.400,4,10,14,0,0,1,1,3,14,3.000
Gerald Henderson,G,41:05,4,13,0.308,0,1,0.000,6,6,1.000,2,6,8,4,2,0,3,5,14,7.000
Kemba Walker,G,41:05,6,26,0.231,1,6,0.167,5,6,0.833,0,7,7,8,2,1,4,2,18,7.000
DJ White,,14:11,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,1,0,1,0,1,2,-13.000
Eduardo Najera,,2:23,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-2.000
Matt Carroll,,9:24,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,3,1,0,-9.000
Cory Higgins,,6:55,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,1,1,0,-12.000
Tyrus Thomas,,13:30,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,3,0,-7.000
MIL
Shaun Livingston,F,20:14,2,5,0.400,0,0,0.000,0,0,0.000,2,3,5,6,0,1,0,3,4,-3.000
Ersan Ilyasova,F,37:38,5,15,0.333,1,3,0.333,1,3,0.333,4,11,15,1,2,0,2,0,12,0.000
Ekpe Udoh,C,31:23,3,7,0.429,0,0,0.000,3,4,0.750,1,4,5,1,1,3,2,3,9,-4.000
Monta Ellis,G,41:16,9,21,0.429,0,1,0.000,7,9,0.778,0,4,4,3,3,0,4,4,25,4.000
Brandon Jennings,G,36:28,8,17,0.471,2,6,0.333,0,0,0.000,0,1,1,9,5,0,0,4,18,-8.000
Larry Sanders,,9:39,2,4,0.500,0,0,0.000,1,2,0.500,2,2,4,0,2,1,1,5,5,2.000
Jon Brockman,,6:08,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,1,2,10.000
Mike Dunleavy,,31:49,5,13,0.385,2,5,0.400,3,4,0.750,0,5,5,3,0,1,1,0,15,10.000
Beno Udrih,,14:13,2,3,0.667,0,0,0.000,1,2,0.500,0,1,1,4,0,0,0,1,5,12.000
Jon Leuer,,11:12,0,2,0.000,0,0,0.000,0,0,0.000,1,2,3,0,1,0,0,2,0,2.000
