04-11,NYK-CHI,86-98,Team,
25-22,10-25,27-25,24-26,
NYK
Carmelo Anthony,F,39:16,11,19,0.579,1,3,0.333,6,9,0.667,0,2,2,5,3,0,2,2,29,-8.000
Landry Fields,F,28:21,4,13,0.308,0,2,0.000,1,1,1.000,0,4,4,0,1,1,1,0,9,1.000
Tyson Chandler,C,37:11,2,4,0.500,0,0,0.000,6,7,0.857,2,13,15,1,1,3,1,2,10,-2.000
Iman Shumpert,G,34:17,4,7,0.571,2,3,0.667,2,2,1.000,0,1,1,3,0,0,3,5,12,5.000
Baron Davis,G,26:05,3,6,0.500,2,4,0.500,0,0,0.000,0,1,1,6,1,0,4,2,8,-1.000
J.R. Smith,,34:26,6,13,0.462,2,4,0.500,0,0,0.000,0,2,2,1,2,0,2,3,14,-20.000
Jared Jeffries,,14:01,0,2,0.000,0,0,0.000,0,0,0.000,1,4,5,0,0,1,2,1,0,-7.000
Steve Novak,,16:51,0,4,0.000,0,3,0.000,2,2,1.000,1,1,2,0,0,0,0,2,2,-13.000
Toney Douglas,,7:01,0,3,0.000,0,2,0.000,0,0,0.000,1,0,1,0,0,0,1,1,0,-11.000
Henry Walker,,1:16,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-2.000
Josh Harrellson,,1:15,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-2.000
CHI
Luol Deng,F,40:07,7,15,0.467,3,6,0.500,2,2,1.000,4,6,10,4,0,0,2,0,19,8.000
Carlos Boozer,F,28:01,5,9,0.556,0,0,0.000,0,0,0.000,2,6,8,1,3,0,4,4,10,-5.000
Joakim Noah,C,22:49,3,6,0.500,0,0,0.000,1,4,0.250,5,4,9,1,0,2,0,4,7,-6.000
Richard Hamilton,G,20:35,7,14,0.500,1,1,1.000,5,7,0.714,2,2,4,5,0,0,1,2,20,-5.000
CJ Watson,G,32:22,4,12,0.333,1,3,0.333,0,0,0.000,0,3,3,7,0,1,1,2,9,-4.000
Ronnie Brewer,,11:26,3,6,0.500,0,0,0.000,0,0,0.000,1,2,3,0,1,1,0,0,6,8.000
Taj Gibson,,24:43,2,5,0.400,0,0,0.000,0,0,0.000,2,2,4,2,0,2,1,2,4,16.000
Jimmy Butler,,12:11,1,4,0.250,0,1,0.000,0,0,0.000,0,1,1,1,1,0,0,1,2,8.000
John Lucas III,,15:32,2,10,0.200,1,4,0.250,2,2,1.000,0,0,0,3,1,0,2,1,7,16.000
Mike James,,0:06,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,0.000
Omer Asik,,9:11,0,1,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,1,0,1,0,9.000
Kyle Korver,,22:57,5,8,0.625,3,5,0.600,1,1,1.000,1,6,7,3,0,3,1,1,14,15.000
