04-22,NJN-MIL,95-106,Team,
23-24,19-29,27-20,26-33,
NJN
Gerald Wallace,F,34:35,7,12,0.583,1,2,0.500,3,4,0.750,1,10,11,4,0,0,2,2,18,-8.000
Kris Humphries,F,33:40,6,11,0.545,0,0,0.000,0,1,0.000,2,5,7,3,2,1,3,4,12,-12.000
Jordan Williams,C,21:05,2,4,0.500,0,0,0.000,0,0,0.000,2,4,6,0,2,0,0,0,4,-6.000
MarShon Brooks,G,31:12,7,18,0.389,1,2,0.500,2,3,0.667,0,1,1,2,1,0,3,3,17,-18.000
Sundiata Gaines,G,27:24,5,8,0.625,1,3,0.333,0,1,0.000,0,0,0,3,2,0,2,3,11,-15.000
DeShawn Stevenson,,9:23,1,2,0.500,1,2,0.500,0,0,0.000,0,1,1,0,0,0,1,2,3,0.000
Johan Petro,,19:44,3,7,0.429,0,0,0.000,2,2,1.000,2,6,8,2,0,0,0,2,8,4.000
Gerald Green,,25:26,6,12,0.500,0,1,0.000,4,4,1.000,0,3,3,2,0,0,2,2,16,-5.000
Armon Johnson,,19:04,1,5,0.200,0,0,0.000,0,0,0.000,0,3,3,2,0,0,2,5,2,6.000
Anthony Morrow,,18:27,2,7,0.286,0,2,0.000,0,0,0.000,0,1,1,1,1,0,0,0,4,-1.000
MIL
Luc Mbah a Moute,F,42:48,4,9,0.444,0,0,0.000,0,2,0.000,0,7,7,2,0,2,0,2,8,17.000
Ersan Ilyasova,F,34:12,7,13,0.538,1,3,0.333,2,4,0.500,6,11,17,3,3,2,1,4,17,10.000
Drew Gooden,C,32:28,6,13,0.462,0,1,0.000,4,5,0.800,2,6,8,3,1,0,5,1,16,23.000
Monta Ellis,G,32:37,5,14,0.357,0,0,0.000,2,3,0.667,0,2,2,5,0,0,1,5,12,7.000
Brandon Jennings,G,37:49,9,18,0.500,3,5,0.600,9,11,0.818,3,3,6,6,4,0,4,1,30,13.000
Beno Udrih,,10:09,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Ekpe Udoh,,15:32,1,2,0.500,0,0,0.000,2,2,1.000,1,1,2,1,0,0,0,0,4,-12.000
Mike Dunleavy,,17:29,2,8,0.250,0,3,0.000,3,4,0.750,1,5,6,1,0,0,0,2,7,-7.000
Shaun Livingston,,16:57,4,5,0.800,0,0,0.000,4,6,0.667,0,2,2,1,0,0,1,1,12,4.000
