04-22,ORL-UTA,107-117,Team,
36-23,19-32,28-26,18-20,6-16,
ORL
Jason Richardson,F,36:23,8,15,0.533,5,7,0.714,0,0,0.000,2,5,7,0,0,0,0,2,21,16.000
Ryan Anderson,F,36:58,8,18,0.444,5,12,0.417,0,0,0.000,4,1,5,0,0,1,0,2,21,-9.000
Glen Davis,C,40:29,6,14,0.429,0,0,0.000,1,3,0.333,3,8,11,2,4,1,2,0,13,16.000
JJ Redick,G,28:44,5,8,0.625,1,2,0.500,2,2,1.000,1,3,4,2,0,0,0,1,13,-4.000
Jameer Nelson,G,33:38,9,18,0.500,3,8,0.375,2,2,1.000,0,1,1,10,1,0,4,4,23,1.000
Daniel Orton,,11:09,1,3,0.333,0,0,0.000,0,2,0.000,2,1,3,0,0,2,0,5,2,4.000
Quentin Richardson,,30:53,3,8,0.375,1,5,0.200,1,2,0.500,2,4,6,3,0,2,1,1,8,-12.000
Chris Duhon,,8:38,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,1,0,0,-3.000
Justin Harper,,7:24,0,3,0.000,0,1,0.000,0,0,0.000,0,1,1,0,1,0,1,0,0,-11.000
Ish Smith,,5:44,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,2.000
UTA
DeMarre Carroll,F,18:20,2,4,0.500,0,0,0.000,2,2,1.000,3,0,3,1,0,0,0,2,6,-17.000
Paul Millsap,F,40:55,5,13,0.385,0,0,0.000,4,4,1.000,2,5,7,1,4,1,1,2,14,13.000
Al Jefferson,C,35:21,9,20,0.450,0,0,0.000,1,2,0.500,2,7,9,1,1,3,0,4,19,-5.000
Gordon Hayward,G,32:41,4,5,0.800,0,1,0.000,1,1,1.000,0,3,3,2,0,0,6,2,9,-16.000
Devin Harris,G,29:42,5,12,0.417,1,4,0.250,5,8,0.625,0,3,3,5,0,1,0,2,16,-11.000
Derrick Favors,,31:22,7,9,0.778,0,0,0.000,0,0,0.000,2,7,9,2,1,1,0,1,14,11.000
Alec Burks,,20:42,3,7,0.429,1,1,1.000,0,0,0.000,2,1,3,0,0,0,0,1,7,9.000
Jamaal Tinsley,,18:18,3,5,0.600,0,0,0.000,1,1,1.000,0,0,0,9,1,0,1,0,7,11.000
Enes Kanter,,12:39,4,5,0.800,0,0,0.000,1,1,1.000,0,2,2,0,0,0,0,0,9,5.000
