05-06,IND-ORL,101-99,Playoff,
22-19,24-25,27-17,16-28,12-10,
IND
Danny Granger,F,37:08,8,18,0.444,2,7,0.286,1,1,1.000,3,4,7,1,0,1,2,3,19,-13.000
David West,F,42:21,9,20,0.450,0,0,0.000,4,4,1.000,1,10,11,0,0,0,5,2,22,-2.000
Roy Hibbert,C,26:48,5,7,0.714,0,0,0.000,4,4,1.000,3,7,10,2,0,2,1,4,14,-16.000
Paul George,G,35:17,1,7,0.143,0,4,0.000,0,0,0.000,3,6,9,2,0,0,3,4,2,-4.000
George Hill,G,30:34,2,8,0.250,1,4,0.250,1,2,0.500,0,1,1,4,1,0,2,3,6,-15.000
Leandro Barbosa,,24:08,3,4,0.750,1,2,0.500,0,1,0.000,0,1,1,1,0,0,1,1,7,13.000
Lou Amundson,,10:01,2,2,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,5,4,13.000
Tyler Hansbrough,,15:23,2,5,0.400,0,0,0.000,0,0,0.000,1,4,5,1,0,0,1,4,4,11.000
Darren Collison,,18:20,3,6,0.500,2,3,0.667,3,3,1.000,0,1,1,9,2,0,0,0,11,13.000
ORL
Hedo Turkoglu,F,37:52,5,10,0.500,1,1,1.000,0,2,0.000,1,3,4,2,2,1,1,5,11,15.000
Ryan Anderson,F,31:35,3,9,0.333,3,6,0.500,2,2,1.000,2,1,3,2,1,1,3,4,11,-8.000
Glen Davis,C,36:02,8,14,0.571,0,0,0.000,4,5,0.800,2,6,8,1,1,0,2,4,20,13.000
Jason Richardson,G,37:54,8,16,0.500,3,10,0.300,3,4,0.750,1,3,4,1,2,1,0,0,22,16.000
Jameer Nelson,G,38:05,3,13,0.231,0,2,0.000,3,4,0.750,0,6,6,9,0,0,1,3,9,11.000
Earl Clark,,17:20,1,4,0.250,0,0,0.000,2,3,0.667,2,6,8,0,0,0,0,1,4,-24.000
Chris Duhon,,9:55,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,2,0,0,-11.000
Quentin Richardson,,10:08,0,2,0.000,0,2,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-15.000
JJ Redick,,18:32,2,7,0.286,1,5,0.200,5,5,1.000,0,1,1,6,1,0,0,1,10,1.000
Daniel Orton,,2:37,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,2,2,2.000
