05-14,LAC-MEM,82-72,Playoff,
16-13,23-25,16-18,27-16,
LAC
Caron Butler,F,27:32,3,12,0.250,0,3,0.000,2,4,0.500,2,3,5,0,1,0,2,2,8,-3.000
Blake Griffin,F,28:17,3,11,0.273,0,0,0.000,2,3,0.667,3,1,4,0,2,2,2,3,8,-5.000
DeAndre Jordan,C,23:48,0,2,0.000,0,0,0.000,0,0,0.000,2,1,3,0,1,1,0,2,0,-6.000
Randy Foye,G,22:21,2,6,0.333,0,1,0.000,2,2,1.000,1,1,2,2,1,0,2,2,6,-2.000
Chris Paul,G,35:17,7,17,0.412,1,6,0.167,4,4,1.000,0,9,9,4,2,0,5,3,19,4.000
Eric Bledsoe,,14:28,3,6,0.500,0,0,0.000,2,2,1.000,0,2,2,3,1,0,1,2,8,3.000
Kenyon Martin,,24:56,5,7,0.714,0,0,0.000,1,2,0.500,4,6,10,0,0,2,1,5,11,13.000
Mo Williams,,23:55,4,9,0.444,1,4,0.250,0,0,0.000,0,0,0,1,1,0,1,1,9,15.000
Nick Young,,20:28,3,8,0.375,2,3,0.667,5,6,0.833,1,1,2,1,0,0,2,4,13,13.000
Reggie Evans,,18:59,0,0,0.000,0,0,0.000,0,0,0.000,0,9,9,1,1,1,0,4,0,18.000
MEM
Rudy Gay,F,40:05,7,15,0.467,0,2,0.000,5,6,0.833,1,8,9,1,1,1,4,1,19,-5.000
Zach Randolph,F,39:07,3,12,0.250,0,2,0.000,3,4,0.750,5,7,12,0,1,0,0,4,9,-8.000
Marc Gasol,C,36:39,6,11,0.545,0,1,0.000,7,9,0.778,2,3,5,2,0,3,3,3,19,-5.000
Tony Allen,G,24:23,3,8,0.375,0,2,0.000,1,2,0.500,1,3,4,1,2,0,2,6,7,11.000
Mike Conley,G,39:60,2,13,0.154,0,2,0.000,3,4,0.750,0,2,2,5,3,0,1,2,7,-3.000
O.J. Mayo,,24:32,1,11,0.091,0,3,0.000,2,4,0.500,1,6,7,2,2,0,1,1,4,-24.000
Quincy Pondexter,,12:39,1,2,0.500,0,1,0.000,1,2,0.500,0,1,1,0,1,0,0,0,3,-7.000
Marreese Speights,,11:11,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,0,1,0,1,0,2,4.000
Hamed Haddadi,,6:04,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,1,3,0,-4.000
Gilbert Arenas,,2:50,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
Dante Cunningham,,2:30,1,2,0.500,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,-6.000
