12-22,MIA-ORL,100-104,Preseason,
27-17,29-25,24-34,20-28,
MIA
Chris Bosh,,29,2,8,0.250,0,1,0.000,3,8,0.375,0,7,7,4,1,0,3,3,7,0
Derrick Byars,,4,1,2,0.500,1,2,0.500,0,0,0.000,0,0,0,0,0,0,0,1,3,0
Dwyane Wade,,30,6,12,0.500,0,0,0.000,9,10,0.900,1,4,5,2,4,0,2,1,21,0
James Jones,,16,1,4,0.250,1,3,0.333,2,2,1.000,0,0,0,1,0,0,0,1,5,0
Joel Anthony,,21,2,3,0.667,0,0,0.000,4,6,0.667,0,1,1,0,4,0,1,2,8,0
Juwan Howard,,12,2,3,0.667,0,0,0.000,1,2,0.500,0,1,1,0,1,0,0,3,5,0
LeBron James,,30,9,16,0.563,0,1,0.000,9,12,0.750,1,1,2,1,0,1,1,1,27,0
Mario Chalmers,,25,0,2,0.000,0,1,0.000,3,3,1.000,1,3,4,3,3,0,3,3,3,0
Mickell Gladness,,9,1,1,1.000,0,0,0.000,1,2,0.500,2,4,6,1,1,1,0,2,3,0
Norris Cole,,23,4,9,0.444,1,3,0.333,2,2,1.000,0,0,0,1,0,0,1,2,11,0
Terrel Harris,,15,0,3,0.000,0,2,0.000,0,0,0.000,1,3,4,1,1,0,2,4,0,0
Udonis Haslem,,24,1,7,0.143,0,0,0.000,5,6,0.833,0,5,5,2,1,1,4,5,7,0
ORL
Chris Duhon,,16,0,1,0.000,0,0,0.000,1,2,0.500,0,0,0,2,1,0,3,2,1,0
Daniel Orton,,4,2,2,1.000,0,0,0.000,0,2,0.000,0,0,0,0,0,0,0,0,4,0
DeAndre Liggins,,10,0,1,0.000,0,0,0.000,1,2,0.500,0,1,1,4,1,0,1,1,1,0
Dwight Howard,,28,6,8,0.750,0,0,0.000,3,10,0.300,2,7,9,1,1,1,2,3,15,0
Earl Clark,,3,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,0
Glen Davis,,24,7,8,0.875,0,0,0.000,4,6,0.667,1,4,5,0,1,0,3,2,18,0
JJ Redick,,26,2,7,0.286,1,2,0.500,3,3,1.000,0,4,4,3,1,0,2,2,8,0
Jameer Nelson,,24,4,10,0.400,0,4,0.000,6,6,1.000,0,2,2,10,0,0,2,4,14,0
Jason Richardson,,25,6,12,0.500,3,7,0.429,0,1,0.000,0,0,0,1,3,0,1,2,15,0
Justin Harper,,16,3,7,0.429,1,3,0.333,0,0,0.000,1,2,3,1,0,0,1,4,7,0
Larry Hughes,,10,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,2,2,0,0,0,4,0
Quentin Richardson,,22,2,5,0.400,2,5,0.400,0,0,0.000,1,4,5,3,0,0,3,5,6,0
Ryan Anderson,,24,2,9,0.222,1,5,0.200,1,2,0.500,2,5,7,0,1,0,2,5,6,0
Von Wafer,,8,2,3,0.667,0,1,0.000,1,2,0.500,0,1,1,0,0,0,3,1,5,0
