12-30,CHI-SAC,108-98,Team,
30-24,30-29,25-22,23-23,
CHI
Luol Deng,F,40:22,4,9,0.444,0,2,0.000,4,4,1.000,0,6,6,4,0,1,2,2,12,9.000
Carlos Boozer,F,37:37,8,16,0.500,0,0,0.000,0,0,0.000,2,13,15,0,1,1,4,3,16,13.000
Joakim Noah,C,24:01,3,5,0.600,0,0,0.000,3,4,0.750,1,3,4,2,0,2,2,5,9,15.000
Richard Hamilton,G,35:35,7,15,0.467,1,2,0.500,1,1,1.000,1,3,4,1,2,0,3,0,16,9.000
Derrick Rose,G,32:12,7,14,0.500,0,2,0.000,5,6,0.833,0,1,1,8,0,0,6,5,19,-1.000
Omer Asik,,23:35,1,3,0.333,0,0,0.000,2,2,1.000,3,0,3,0,0,1,1,4,4,-3.000
Ronnie Brewer,,12:15,5,5,1.000,2,2,1.000,0,0,0.000,0,1,1,0,1,0,0,1,12,2.000
Taj Gibson,,10:10,3,4,0.750,0,0,0.000,0,1,0.000,0,1,1,0,0,0,0,2,6,-2.000
CJ Watson,,16:12,3,7,0.429,1,2,0.500,1,2,0.500,1,4,5,9,2,0,0,3,8,9.000
Kyle Korver,,8:02,2,2,1.000,2,2,1.000,0,1,0.000,0,1,1,1,0,0,0,2,6,-1.000
SAC
John Salmons,F,33:22,4,10,0.400,2,4,0.500,2,2,1.000,1,1,2,2,0,0,1,3,12,-9.000
Charles Hayes,F,34:24,3,8,0.375,0,0,0.000,1,2,0.500,3,7,10,4,1,0,1,6,7,-10.000
DeMarcus Cousins,C,27:57,4,16,0.250,0,0,0.000,7,8,0.875,7,5,12,0,1,2,2,6,15,-11.000
Marcus Thornton,G,40:16,8,17,0.471,4,6,0.667,0,2,0.000,2,3,5,1,2,0,3,1,20,-11.000
Tyreke Evans,G,38:22,7,14,0.500,0,2,0.000,5,12,0.417,0,2,2,2,3,0,1,2,19,-9.000
JJ Hickson,,18:26,2,4,0.500,0,0,0.000,3,6,0.500,4,4,8,0,1,0,3,0,7,4.000
Jimmer Fredette,,24:26,5,10,0.500,2,4,0.500,2,2,1.000,1,0,1,2,0,0,3,1,14,-3.000
Jason Thompson,,13:23,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,0,2,-1.000
Donte Greene,,0:25,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,2.000
Travis Outlaw,,8:36,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
Isaiah Thomas,,0:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,2.000
