01-21,DEN-OKC,121-118,Team,
25-25,26-25,30-29,28-30,12-9,
DEN
Kevin Durant,F,43:42,7,18,0.389,3,8,0.375,15,15,1.000,0,6,6,7,2,0,5,3,32,2.000
Serge Ibaka,F,36:47,6,10,0.600,0,0,0.000,2,6,0.333,3,2,5,1,0,1,0,4,14,3.000
Kendrick Perkins,C,28:29,3,4,0.750,0,0,0.000,1,2,0.500,0,5,5,0,0,2,2,5,7,7.000
Thabo Sefolosha,G,27:02,2,3,0.667,0,0,0.000,0,0,0.000,3,3,6,2,3,0,0,2,4,-12.000
Russell Westbrook,G,43:06,9,23,0.391,1,5,0.200,15,17,0.882,1,6,7,8,0,0,7,2,34,2.000
Kevin Martin,,32:14,6,10,0.600,4,6,0.667,2,2,1.000,1,1,2,1,3,0,3,1,18,8.000
Nick Collison,,19:31,0,1,0.000,0,0,0.000,0,0,0.000,2,2,4,1,1,0,2,2,0,-7.000
Reggie Jackson,,5:51,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,1,0,0,0,0,-1.000
Hasheem Thabeet,,1:56,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,1,1,0,3.000
DeAndre Liggins,,1:22,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
OKC
Danilo Gallinari,F,32:30,4,9,0.444,3,6,0.500,5,8,0.625,0,5,5,3,3,0,2,4,16,-5.000
Kenneth Faried,F,35:10,5,9,0.556,0,0,0.000,2,4,0.500,3,4,7,3,1,4,3,5,12,6.000
Kosta Koufos,C,20:31,5,7,0.714,0,0,0.000,0,0,0.000,3,8,11,0,1,0,3,6,10,4.000
Andre Iguodala,G,26:34,4,8,0.500,1,2,0.500,0,0,0.000,2,1,3,3,2,1,3,2,9,6.000
Ty Lawson,G,39:54,4,12,0.333,0,1,0.000,3,4,0.750,1,3,4,9,1,0,7,1,11,3.000
JaVale McGee,,16:51,3,7,0.429,0,0,0.000,2,3,0.667,2,2,4,0,0,0,1,2,8,0.000
Corey Brewer,,29:02,9,16,0.563,3,6,0.500,5,7,0.714,3,3,6,1,1,0,3,3,26,-8.000
Wilson Chandler,,15:52,4,8,0.500,0,1,0.000,2,2,1.000,3,1,4,1,0,0,0,4,10,0.000
Andre Miller,,23:11,3,8,0.375,1,1,1.000,0,0,0.000,1,0,1,3,0,0,1,3,7,-6.000
Timofey Mozgov,,0:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
