01-23,BOS-CLE,90-95,Team,
27-31,26-23,20-16,17-25,
BOS
Paul Pierce,F,36:49,3,15,0.200,1,4,0.250,5,6,0.833,4,3,7,7,2,0,4,0,12,-8.000
Brandon Bass,F,27:33,4,7,0.571,0,0,0.000,0,0,0.000,2,4,6,1,0,0,2,2,8,-7.000
Kevin Garnett,C,30:40,5,13,0.385,0,0,0.000,6,6,1.000,0,5,5,3,1,5,2,3,16,-3.000
Avery Bradley,G,25:39,2,4,0.500,2,2,1.000,1,2,0.500,1,0,1,1,0,1,1,3,7,-5.000
Rajon Rondo,G,37:39,7,17,0.412,0,2,0.000,3,4,0.750,3,10,13,8,0,0,5,2,17,-10.000
Jared Sullinger,,26:17,5,11,0.455,0,0,0.000,2,2,1.000,5,5,10,0,0,1,0,6,12,-4.000
Jason Terry,,19:46,2,5,0.400,0,2,0.000,0,0,0.000,0,0,0,1,1,0,1,0,4,4.000
Jeff Green,,21:21,1,3,0.333,1,2,0.500,2,2,1.000,0,3,3,1,0,1,1,0,5,7.000
Courtney Lee,,14:16,3,9,0.333,3,5,0.600,0,0,0.000,1,2,3,2,1,0,0,2,9,1.000
CLE
Alonzo Gee,F,30:56,3,7,0.429,0,1,0.000,4,6,0.667,1,5,6,2,1,0,0,2,10,8.000
Tristan Thompson,F,39:39,9,18,0.500,0,0,0.000,3,3,1.000,2,7,9,5,1,1,1,3,21,9.000
Tyler Zeller,C,37:45,2,10,0.200,0,0,0.000,2,2,1.000,3,7,10,4,0,3,2,6,6,5.000
Dion Waiters,G,33:19,3,12,0.250,1,4,0.250,0,0,0.000,1,1,2,3,1,0,0,1,7,8.000
Kyrie Irving,G,37:55,16,24,0.667,1,3,0.333,7,7,1.000,0,3,3,5,2,0,5,5,40,11.000
Daniel Gibson,,14:59,0,3,0.000,0,3,0.000,0,0,0.000,0,2,2,1,1,1,1,3,0,-6.000
Luke Walton,,17:60,3,3,1.000,0,0,0.000,1,2,0.500,1,2,3,7,1,0,2,0,7,2.000
Shaun Livingston,,17:39,0,2,0.000,0,0,0.000,2,2,1.000,0,1,1,1,0,1,1,0,2,-6.000
Omri Casspi,,9:48,1,3,0.333,0,1,0.000,0,0,0.000,0,3,3,0,0,1,1,2,2,-6.000
