01-23,LAC-OKC,97-109,Team,
22-22,23-27,23-33,29-27,
LAC
Kevin Durant,F,41:02,12,19,0.632,5,6,0.833,3,3,1.000,1,6,7,7,1,0,4,2,32,8.000
Serge Ibaka,F,38:46,7,13,0.538,1,1,1.000,2,2,1.000,3,6,9,3,0,1,3,6,17,12.000
Kendrick Perkins,C,6:50,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,4,0,-8.000
Thabo Sefolosha,G,22:42,3,5,0.600,3,5,0.600,0,0,0.000,0,2,2,1,1,0,1,1,9,-1.000
Russell Westbrook,G,37:39,9,19,0.474,3,6,0.500,5,5,1.000,0,4,4,6,1,0,5,3,26,0.000
Nick Collison,,40:47,4,8,0.500,0,1,0.000,0,0,0.000,4,3,7,2,1,2,1,5,8,20.000
Kevin Martin,,31:47,4,9,0.444,3,5,0.600,2,3,0.667,1,2,3,2,1,0,1,1,13,8.000
DeAndre Liggins,,4:45,0,0,0.000,0,0,0.000,0,1,0.000,1,1,2,1,0,0,0,0,0,11.000
Reggie Jackson,,10:43,2,5,0.400,0,3,0.000,0,0,0.000,0,2,2,1,1,0,1,3,4,12.000
Hasheem Thabeet,,4:57,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,0,1,0,-2.000
OKC
Caron Butler,F,21:28,2,6,0.333,0,3,0.000,0,0,0.000,0,0,0,1,1,2,0,1,4,-9.000
Blake Griffin,F,37:14,11,19,0.579,0,0,0.000,9,10,0.900,4,7,11,5,2,1,4,4,31,-6.000
DeAndre Jordan,C,21:28,2,2,1.000,0,0,0.000,3,6,0.500,2,4,6,0,1,0,0,0,7,-9.000
Willie Green,G,16:06,2,2,1.000,1,1,1.000,0,0,0.000,0,1,1,0,0,0,0,1,5,0.000
Eric Bledsoe,G,35:06,5,16,0.313,0,0,0.000,2,3,0.667,2,0,2,4,1,2,1,3,12,1.000
Jamal Crawford,,28:13,6,18,0.333,1,6,0.167,1,2,0.500,0,1,1,3,2,0,2,0,14,-9.000
Lamar Odom,,26:32,4,7,0.571,0,1,0.000,0,0,0.000,2,5,7,1,0,0,1,3,8,-3.000
Matt Barnes,,29:26,4,10,0.400,2,5,0.400,0,0,0.000,1,2,3,1,1,1,1,1,10,-6.000
Grant Hill,,18:39,3,4,0.750,0,0,0.000,0,0,0.000,1,3,4,0,0,1,1,2,6,-12.000
Ronny Turiaf,,5:48,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,-7.000
