01-24,DEN-HOU,105-95,Team,
27-21,19-23,36-22,23-29,
DEN
Danilo Gallinari,F,35:38,6,13,0.462,3,5,0.600,3,4,0.750,3,3,6,3,0,3,0,1,18,4.000
Kenneth Faried,F,20:07,0,2,0.000,0,0,0.000,0,0,0.000,0,6,6,1,2,1,2,0,0,2.000
Kosta Koufos,C,29:00,4,9,0.444,0,0,0.000,0,2,0.000,3,3,6,1,1,1,1,5,8,-6.000
Andre Iguodala,G,36:10,5,11,0.455,0,2,0.000,4,5,0.800,2,4,6,5,3,0,1,1,14,3.000
Ty Lawson,G,33:25,8,15,0.533,2,4,0.500,3,4,0.750,1,3,4,7,2,0,4,0,21,2.000
JaVale McGee,,15:31,6,7,0.857,0,0,0.000,2,2,1.000,2,0,2,0,1,3,1,1,14,16.000
Corey Brewer,,22:03,3,8,0.375,1,5,0.200,1,3,0.333,0,3,3,1,1,0,1,3,8,12.000
Wilson Chandler,,23:44,7,15,0.467,2,3,0.667,4,5,0.800,0,6,6,0,3,0,1,1,20,17.000
Andre Miller,,22:40,1,5,0.200,0,2,0.000,0,0,0.000,0,2,2,4,0,0,2,0,2,5.000
Anthony Randolph,,1:42,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-5.000
HOU
Chandler Parsons,F,29:18,2,8,0.250,1,4,0.250,1,2,0.500,0,4,4,1,1,1,2,5,6,1.000
Patrick Patterson,F,14:48,4,7,0.571,1,2,0.500,1,2,0.500,0,1,1,1,2,1,2,1,10,-11.000
Omer Asik,C,33:44,3,5,0.600,0,0,0.000,0,1,0.000,4,9,13,3,0,3,4,1,6,-6.000
James Harden,G,39:09,8,17,0.471,2,6,0.333,5,5,1.000,0,3,3,7,1,0,7,3,23,-16.000
Jeremy Lin,G,24:13,3,7,0.429,0,1,0.000,3,3,1.000,0,1,1,3,1,0,2,2,9,-14.000
Greg Smith,,12:34,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,1,0,0,1,0,2,-9.000
Marcus Morris,,24:01,4,9,0.444,2,3,0.667,0,0,0.000,1,4,5,0,0,1,1,3,10,-2.000
Patrick Beverley,,13:29,0,3,0.000,0,3,0.000,0,0,0.000,1,2,3,5,2,1,1,0,0,3.000
Carlos Delfino,,31:27,6,12,0.500,3,8,0.375,0,0,0.000,0,3,3,1,1,0,1,3,15,-12.000
Toney Douglas,,13:53,4,11,0.364,0,5,0.000,0,0,0.000,1,2,3,2,0,0,1,3,8,6.000
James Anderson,,1:42,2,2,1.000,2,2,1.000,0,0,0.000,0,0,0,0,0,0,0,0,6,5.000
Cole Aldrich,,1:42,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,5.000
