01-26,CHI-GSW,103-87,Team,
31-13,32-37,21-16,19-21,
CHI
Harrison Barnes,F,21:38,0,4,0.000,0,2,0.000,3,4,0.750,0,5,5,3,1,0,2,1,3,7.000
David Lee,F,35:34,6,15,0.400,0,0,0.000,11,12,0.917,2,4,6,1,1,0,2,2,23,-13.000
Festus Ezeli,C,8:53,0,0,0.000,0,0,0.000,0,0,0.000,2,1,3,0,0,0,2,4,0,-6.000
Klay Thompson,G,32:40,4,13,0.308,0,4,0.000,5,5,1.000,0,8,8,1,2,1,0,3,13,-7.000
Stephen Curry,G,36:39,7,18,0.389,3,7,0.429,4,4,1.000,0,1,1,1,0,0,2,1,21,-15.000
Andris Biedrins,,8:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-10.000
Jarrett Jack,,26:54,5,12,0.417,1,2,0.500,0,0,0.000,1,4,5,5,0,2,1,2,11,-19.000
Draymond Green,,11:06,1,3,0.333,0,2,0.000,0,0,0.000,0,0,0,0,0,0,0,3,2,-13.000
Richard Jefferson,,14:45,1,3,0.333,0,2,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,-4.000
Carl Landry,,26:30,2,5,0.400,0,0,0.000,2,2,1.000,2,3,5,0,1,2,1,1,6,-1.000
Charles Jenkins,,6:21,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,1,0,0,0,0,-1.000
Jeremy Tyler,,5:18,1,2,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,1,2,1.000
GSW
Kent Bazemore,,5:18,0,2,0.000,0,0,0.000,4,6,0.667,1,0,1,0,0,0,0,0,4,1.000
Jimmy Butler,F,43:30,6,10,0.600,0,1,0.000,4,4,1.000,4,8,12,2,0,1,2,1,16,18.000
Carlos Boozer,F,34:12,7,21,0.333,0,0,0.000,1,2,0.500,5,8,13,1,0,2,5,5,15,14.000
Joakim Noah,C,39:08,6,11,0.545,0,0,0.000,2,6,0.333,6,10,16,4,1,3,1,4,14,16.000
Richard Hamilton,G,19:42,2,6,0.333,0,0,0.000,1,1,1.000,0,4,4,5,0,1,2,2,5,17.000
Kirk Hinrich,G,38:31,8,11,0.727,6,7,0.857,3,4,0.750,0,2,2,4,0,1,2,3,25,18.000
Marco Belinelli,,17:06,1,5,0.200,0,2,0.000,1,1,1.000,0,1,1,2,0,0,0,1,3,-4.000
Taj Gibson,,18:35,0,4,0.000,0,0,0.000,0,0,0.000,0,3,3,0,1,0,0,4,0,11.000
Nazr Mohammed,,2:42,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
Nate Robinson,,20:55,10,16,0.625,2,7,0.286,0,0,0.000,1,3,4,4,1,0,1,3,22,7.000
Daequan Cook,,2:53,1,3,0.333,1,3,0.333,0,0,0.000,0,1,1,0,0,0,1,0,3,-4.000
Marquis Teague,,1:23,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,2,0,-4.000
