01-26,HOU-NOH,100-82,Team,
27-18,21-22,32-25,20-17,
HOU
Chandler Parsons,F,34:58,5,13,0.385,0,1,0.000,0,1,0.000,1,2,3,2,0,3,1,3,10,16.000
Patrick Patterson,F,34:14,8,11,0.727,1,1,1.000,1,2,0.500,5,8,13,0,0,1,0,2,18,16.000
Omer Asik,C,25:53,0,4,0.000,0,0,0.000,0,0,0.000,1,5,6,0,1,1,3,4,0,6.000
James Harden,G,35:44,8,15,0.533,2,3,0.667,12,12,1.000,1,3,4,8,1,0,8,2,30,4.000
Jeremy Lin,G,37:09,3,6,0.500,1,3,0.333,6,8,0.750,0,5,5,8,6,1,4,1,13,17.000
Toney Douglas,,14:20,1,4,0.250,1,3,0.333,0,0,0.000,0,1,1,2,0,0,1,2,3,4.000
Greg Smith,,13:10,1,2,0.500,0,0,0.000,0,1,0.000,3,2,5,1,0,0,1,5,2,7.000
Marcus Morris,,17:08,3,6,0.500,2,4,0.500,0,0,0.000,1,2,3,0,0,0,3,4,8,1.000
Carlos Delfino,,24:33,5,9,0.556,4,6,0.667,0,0,0.000,1,2,3,2,0,1,0,1,14,13.000
James Anderson,,0:57,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
Cole Aldrich,,0:57,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,2.000
Patrick Beverley,,0:57,0,1,0.000,0,0,0.000,2,2,1.000,0,0,0,0,0,0,0,0,2,2.000
NOH
Anthony Davis,F,26:47,4,7,0.571,0,0,0.000,2,2,1.000,3,4,7,0,3,1,2,3,10,-4.000
Robin Lopez,C,18:08,2,4,0.500,0,0,0.000,2,2,1.000,0,2,2,0,0,0,0,1,6,-16.000
Eric Gordon,G,30:48,6,14,0.429,2,4,0.500,6,8,0.750,0,0,0,2,1,0,3,3,20,-13.000
Greivis Vasquez,G,23:58,1,6,0.167,0,2,0.000,0,0,0.000,0,1,1,6,0,0,2,3,2,-8.000
Lance Thomas,,4:25,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-5.000
Jason Smith,,16:48,2,5,0.400,0,0,0.000,0,0,0.000,0,5,5,2,0,2,3,4,4,-5.000
Ryan Anderson,,32:39,6,13,0.462,0,5,0.000,7,7,1.000,3,1,4,1,1,2,1,2,19,-7.000
Brian Roberts,,18:46,2,7,0.286,0,4,0.000,0,0,0.000,0,1,1,3,1,0,1,1,4,-11.000
Austin Rivers,,20:16,3,11,0.273,0,2,0.000,0,1,0.000,2,1,3,2,0,1,0,3,6,-6.000
Roger Mason Jr.,,16:55,0,1,0.000,0,1,0.000,0,0,0.000,1,2,3,1,0,1,1,2,0,-1.000
Xavier Henry,,7:05,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,2,0,-5.000
