02-03,ORL-MIL,98-107,Team,
22-31,26-21,19-27,31-28,
ORL
Maurice Harkless,F,42:00,7,16,0.438,0,1,0.000,5,9,0.556,6,8,14,1,4,1,0,3,19,-9.000
Andrew Nicholson,F,10:13,3,3,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,1,3,4,6,-6.000
Nikola Vucevic,C,33:34,10,16,0.625,0,0,0.000,0,0,0.000,5,7,12,6,2,2,2,2,20,3.000
JJ Redick,G,39:06,5,16,0.313,2,9,0.222,3,4,0.750,0,1,1,8,1,0,2,0,15,0.000
DeQuan Jones,,18:59,3,7,0.429,0,1,0.000,2,5,0.400,1,3,4,1,0,0,2,1,8,8.000
Gustavo Ayon,,5:56,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,1,1,0,0,0,2,-9.000
Ish Smith,,23:30,2,7,0.286,0,1,0.000,0,0,0.000,0,1,1,6,0,1,1,2,4,-16.000
Hedo Turkoglu,,5:25,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,0,2,-6.000
Josh McRoberts,,15:00,2,4,0.500,2,3,0.667,0,2,0.000,2,6,8,2,0,0,2,1,6,5.000
MIL
Luc Mbah a Moute,F,25:26,4,7,0.571,0,1,0.000,0,0,0.000,1,4,5,1,1,0,2,1,8,12.000
Ersan Ilyasova,F,33:33,6,13,0.462,2,5,0.400,2,2,1.000,3,5,8,3,0,2,2,2,16,17.000
Larry Sanders,C,35:06,7,15,0.467,0,0,0.000,3,4,0.750,6,7,13,2,1,6,1,5,17,11.000
Monta Ellis,G,43:41,7,16,0.438,1,6,0.167,6,7,0.857,1,3,4,11,1,0,6,4,21,14.000
Brandon Jennings,G,32:51,8,16,0.500,2,7,0.286,2,2,1.000,0,1,1,5,1,0,1,1,20,13.000
Mike Dunleavy,,24:07,4,9,0.444,3,4,0.750,0,0,0.000,0,4,4,3,0,1,1,2,11,-6.000
Samuel Dalembert,,6:06,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-3.000
John Henson,,12:54,4,7,0.571,0,0,0.000,1,5,0.200,2,3,5,0,0,0,0,0,9,-5.000
Beno Udrih,,15:09,2,4,0.500,1,1,1.000,0,0,0.000,0,0,0,1,0,0,1,1,5,-4.000
Marquis Daniels,,4:19,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,0,0,-5.000
Ekpe Udoh,,6:48,0,2,0.000,0,0,0.000,0,0,0.000,1,0,1,0,1,0,0,0,0,1.000
