02-05,CHI-IND,101-111,Team,
29-28,25-32,22-27,25-24,
CHI
Luol Deng,F,44:03,4,18,0.222,0,3,0.000,5,5,1.000,3,3,6,2,0,1,2,5,13,-7.000
Carlos Boozer,F,23:08,4,12,0.333,0,0,0.000,2,2,1.000,2,3,5,0,0,0,2,3,10,-23.000
Taj Gibson,C,44:03,5,9,0.556,0,0,0.000,0,2,0.000,5,6,11,1,1,5,3,3,10,-7.000
Richard Hamilton,G,15:47,5,9,0.556,0,1,0.000,0,0,0.000,1,2,3,1,0,0,1,4,10,-14.000
Nate Robinson,G,40:27,7,15,0.467,3,7,0.429,2,2,1.000,0,5,5,9,3,0,0,4,19,-22.000
Marquis Teague,,7:33,1,2,0.500,0,0,0.000,0,0,0.000,0,0,0,2,0,0,1,1,2,12.000
Marco Belinelli,,24:21,9,13,0.692,1,3,0.333,5,6,0.833,0,0,0,3,0,0,1,4,24,0.000
Jimmy Butler,,29:27,3,8,0.375,0,1,0.000,4,4,1.000,1,2,3,0,3,0,0,1,10,6.000
Daequan Cook,,11:11,1,2,0.500,0,1,0.000,1,1,1.000,0,2,2,0,0,0,0,0,3,5.000
IND
Paul George,F,44:26,6,14,0.429,2,4,0.500,7,8,0.875,0,11,11,5,2,2,4,2,21,9.000
David West,F,36:33,11,18,0.611,0,0,0.000,7,10,0.700,1,8,9,4,1,3,3,1,29,23.000
Roy Hibbert,C,30:18,3,11,0.273,0,0,0.000,0,0,0.000,5,4,9,1,0,1,1,1,6,15.000
Lance Stephenson,G,33:54,6,9,0.667,1,4,0.250,2,3,0.667,1,3,4,5,1,1,2,3,15,22.000
George Hill,G,38:08,7,10,0.700,3,5,0.600,5,5,1.000,0,2,2,6,0,1,4,0,22,15.000
Tyler Hansbrough,,11:59,3,7,0.429,0,0,0.000,2,4,0.500,3,2,5,0,0,0,0,3,8,-9.000
Orlando Johnson,,8:28,0,0,0.000,0,0,0.000,2,2,1.000,0,1,1,1,0,0,1,1,2,-10.000
D.J. Augustin,,10:24,0,1,0.000,0,1,0.000,2,2,1.000,0,0,0,0,0,0,1,0,2,-1.000
Ian Mahinmi,,16:37,3,4,0.750,0,0,0.000,0,0,0.000,2,3,5,0,2,0,0,3,6,-6.000
Sam Young,,9:13,0,0,0.000,0,0,0.000,0,0,0.000,1,0,1,1,0,0,0,5,0,-8.000
