02-05,WAS-LAC,98-90,Team,
24-16,27-30,21-20,26-24,
WAS
Caron Butler,F,32:39,6,16,0.375,1,6,0.167,2,2,1.000,2,4,6,2,1,0,4,3,15,-5.000
Lamar Odom,F,31:27,1,3,0.333,0,1,0.000,1,2,0.500,1,8,9,1,0,0,5,6,3,-9.000
DeAndre Jordan,C,39:57,3,4,0.750,0,0,0.000,1,2,0.500,3,19,22,1,1,2,1,4,7,-10.000
Willie Green,G,17:24,3,6,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,2,6,-7.000
Eric Bledsoe,G,36:09,7,14,0.500,0,0,0.000,3,3,1.000,0,1,1,9,1,2,4,3,17,-9.000
Jamal Crawford,,32:36,10,20,0.500,3,7,0.429,5,6,0.833,1,2,3,3,1,1,2,0,28,-3.000
Matt Barnes,,18:15,4,10,0.400,0,2,0.000,0,0,0.000,1,1,2,1,1,0,2,2,8,0.000
Ronny Turiaf,,13:11,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,1,0,3,0,8.000
Grant Hill,,18:22,3,5,0.600,0,0,0.000,0,0,0.000,1,0,1,3,1,0,2,1,6,-5.000
LAC
Martell Webster,F,34:05,6,10,0.600,5,6,0.833,4,4,1.000,1,4,5,3,1,0,0,3,21,17.000
Nene,F,32:19,5,11,0.455,0,0,0.000,5,7,0.714,3,4,7,4,0,0,2,3,15,7.000
Emeka Okafor,C,26:23,4,9,0.444,0,0,0.000,1,4,0.250,6,9,15,2,1,0,0,0,9,12.000
Garrett Temple,G,36:56,7,12,0.583,0,0,0.000,1,2,0.500,0,3,3,2,3,3,2,2,15,5.000
John Wall,G,32:09,6,18,0.333,0,0,0.000,1,3,0.333,0,1,1,8,1,0,2,3,13,9.000
A.J. Price,,15:51,2,4,0.500,0,1,0.000,1,2,0.500,0,2,2,4,1,0,1,1,5,-1.000
Kevin Seraphin,,15:41,1,6,0.167,0,0,0.000,1,2,0.500,0,3,3,1,0,1,1,1,3,1.000
Trevor Ariza,,25:12,3,7,0.429,1,2,0.500,3,3,1.000,2,4,6,3,2,2,2,1,10,6.000
Jordan Crawford,,5:12,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,0,0,2,1,0,3,-6.000
