02-12,CHI-SAS,89-103,Team,
24-20,18-31,29-25,18-27,
CHI
Kawhi Leonard,F,43:37,11,18,0.611,1,3,0.333,3,6,0.500,0,4,4,0,1,0,0,0,26,24.000
Boris Diaw,F,35:53,4,7,0.571,1,1,1.000,1,1,1.000,0,4,4,2,3,1,1,2,10,23.000
Tiago Splitter,C,33:20,5,7,0.714,0,0,0.000,6,6,1.000,0,5,5,3,2,0,2,2,16,23.000
Danny Green,G,37:37,5,10,0.500,3,5,0.600,5,5,1.000,1,5,6,3,1,0,2,2,18,22.000
Nando De Colo,G,33:11,3,11,0.273,1,4,0.250,2,2,1.000,0,2,2,7,3,0,2,5,9,11.000
Matt Bonner,,19:50,1,3,0.333,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,2,2,-13.000
Gary Neal,,23:53,7,14,0.500,2,2,1.000,0,0,0.000,1,2,3,2,0,0,1,1,16,-9.000
Patty Mills,,5:42,1,3,0.333,0,1,0.000,0,0,0.000,0,0,0,2,0,0,0,0,2,-6.000
DeJuan Blair,,6:11,2,2,1.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,3,4,-4.000
Aron Baynes,,0:46,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-1.000
SAS
Luol Deng,F,39:59,4,13,0.308,0,2,0.000,3,4,0.750,7,4,11,1,0,0,3,1,11,-1.000
Carlos Boozer,F,29:11,7,15,0.467,0,0,0.000,0,0,0.000,2,6,8,0,1,0,3,3,14,-24.000
Joakim Noah,C,38:13,3,5,0.600,0,0,0.000,1,2,0.500,5,10,15,5,1,1,3,5,7,1.000
Richard Hamilton,G,26:57,8,11,0.727,0,1,0.000,0,0,0.000,0,1,1,0,0,0,2,4,16,-1.000
Nate Robinson,G,39:02,8,15,0.533,1,5,0.200,3,4,0.750,0,2,2,7,3,1,3,4,20,-22.000
Taj Gibson,,24:51,3,7,0.429,0,0,0.000,0,2,0.000,2,6,8,2,1,2,1,3,6,-1.000
Marco Belinelli,,18:57,2,6,0.333,1,3,0.333,1,2,0.500,0,2,2,2,1,1,2,1,6,-12.000
Jimmy Butler,,20:55,2,5,0.400,0,1,0.000,5,6,0.833,1,1,2,0,0,0,2,1,9,-12.000
Marquis Teague,,1:09,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,1,0,1.000
Daequan Cook,,0:46,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
