02-21,BOS-LAL,99-113,Team,
27-36,28-28,21-26,23-23,
BOS
Paul Pierce,F,33:10,9,17,0.529,4,7,0.571,4,6,0.667,0,4,4,5,1,0,3,3,26,-18.000
Brandon Bass,F,29:17,3,6,0.500,0,0,0.000,0,0,0.000,1,1,2,2,0,0,2,4,6,-16.000
Kevin Garnett,C,24:20,6,14,0.429,0,0,0.000,0,2,0.000,2,2,4,2,1,1,1,3,12,-9.000
Courtney Lee,G,31:04,9,16,0.563,2,3,0.667,0,0,0.000,1,3,4,2,1,0,1,3,20,1.000
Avery Bradley,G,34:14,2,7,0.286,1,3,0.333,1,2,0.500,1,3,4,4,1,1,1,1,6,-12.000
Jeff Green,,33:06,5,12,0.417,1,2,0.500,4,4,1.000,0,7,7,4,0,1,1,4,15,-11.000
Jason Collins,,5:29,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,1,0,-9.000
Jason Terry,,22:18,3,8,0.375,1,5,0.200,3,4,0.750,2,2,4,1,1,0,1,4,10,-8.000
Chris Wilcox,,7:12,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,1,0,0,0,1,0,0.000
Terrence Williams,,12:44,1,1,1.000,0,0,0.000,0,0,0.000,0,2,2,2,0,0,2,0,2,6.000
Fab Melo,,7:06,1,1,1.000,0,0,0.000,0,2,0.000,0,0,0,0,0,1,0,1,2,6.000
LAL
Metta World Peace,F,41:01,5,14,0.357,2,7,0.286,0,0,0.000,0,4,4,3,2,1,0,1,12,14.000
Earl Clark,F,37:42,6,14,0.429,0,3,0.000,2,4,0.500,5,11,16,0,1,1,0,3,14,0.000
Dwight Howard,C,30:07,10,13,0.769,0,0,0.000,4,8,0.500,7,5,12,1,1,1,4,5,24,22.000
Kobe Bryant,G,32:49,5,15,0.333,0,4,0.000,6,7,0.857,1,3,4,7,0,0,3,5,16,11.000
Steve Nash,G,30:41,6,7,0.857,2,2,1.000,0,0,0.000,0,4,4,7,1,0,3,1,14,13.000
Antawn Jamison,,21:42,5,7,0.714,1,1,1.000,4,5,0.800,1,4,5,0,0,0,1,4,15,8.000
Jodie Meeks,,19:48,1,3,0.333,0,0,0.000,3,4,0.750,0,1,1,0,0,0,0,1,5,5.000
Steve Blake,,23:20,3,8,0.375,1,4,0.250,3,3,1.000,0,2,2,5,0,0,1,1,10,-1.000
Chris Duhon,,2:50,1,2,0.500,1,1,1.000,0,0,0.000,0,1,1,1,0,0,0,0,3,-2.000
