02-21,NOH-CLE,100-105,Team,
20-20,21-23,28-25,31-37,
NOH
Anthony Davis,F,29:13,2,7,0.286,0,0,0.000,8,8,1.000,2,2,4,1,0,2,1,4,12,-4.000
Robin Lopez,C,15:33,5,9,0.556,0,0,0.000,5,6,0.833,3,0,3,0,0,0,3,6,15,-18.000
Austin Rivers,G,30:55,5,11,0.455,1,1,1.000,0,0,0.000,1,3,4,2,0,0,0,5,11,-6.000
Greivis Vasquez,G,38:49,5,13,0.385,1,5,0.200,2,2,1.000,0,4,4,8,0,1,4,2,13,-7.000
Ryan Anderson,,28:10,3,11,0.273,1,4,0.250,0,0,0.000,0,3,3,1,0,0,3,1,7,9.000
Jason Smith,,23:04,5,9,0.556,0,0,0.000,2,4,0.500,1,5,6,0,1,0,1,4,12,3.000
Xavier Henry,,6:57,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,1,0,0,0,-4.000
Roger Mason Jr.,,20:46,4,5,0.800,1,1,1.000,0,0,0.000,1,2,3,0,0,0,0,3,9,5.000
Brian Roberts,,10:56,7,8,0.875,3,4,0.750,0,0,0.000,1,0,1,1,0,0,1,3,17,-2.000
CLE
Alonzo Gee,F,28:01,3,7,0.429,3,4,0.750,1,2,0.500,0,1,1,0,1,0,0,1,10,-2.000
Tristan Thompson,F,32:54,2,8,0.250,0,0,0.000,5,12,0.417,5,8,13,1,1,1,2,3,9,2.000
Tyler Zeller,C,22:06,5,7,0.714,0,0,0.000,0,0,0.000,2,0,2,0,0,0,1,3,10,6.000
Dion Waiters,G,28:54,6,10,0.600,0,1,0.000,4,4,1.000,0,0,0,3,1,1,0,1,16,10.000
Kyrie Irving,G,36:40,13,22,0.591,2,5,0.400,7,7,1.000,0,5,5,7,2,0,4,1,35,2.000
Marreese Speights,,18:26,2,7,0.286,0,0,0.000,0,2,0.000,3,3,6,1,0,0,0,2,4,-10.000
Shaun Livingston,,13:18,1,4,0.250,0,0,0.000,0,0,0.000,1,1,2,2,0,0,0,3,2,6.000
Luke Walton,,17:39,0,2,0.000,0,0,0.000,0,0,0.000,0,2,2,6,0,0,0,2,0,11.000
CJ Miles,,18:10,5,7,0.714,0,2,0.000,1,1,1.000,1,1,2,0,1,1,0,2,11,1.000
Wayne Ellington,,23:52,1,3,0.333,0,2,0.000,6,6,1.000,0,1,1,0,0,0,1,0,8,-1.000
