02-25,DAL-LAL,99-103,Team,
30-27,24-27,21-25,24-24,
DAL
Metta World Peace,F,36:47,0,6,0.000,0,1,0.000,1,2,0.500,0,2,2,1,1,0,0,4,1,3.000
Earl Clark,F,29:11,3,5,0.600,0,0,0.000,0,0,0.000,2,4,6,2,1,0,3,1,6,-11.000
Dwight Howard,C,32:42,2,7,0.286,0,0,0.000,5,10,0.500,1,12,13,1,2,1,4,5,9,15.000
Kobe Bryant,G,38:16,13,21,0.619,4,5,0.800,8,10,0.800,1,11,12,7,0,1,5,2,38,7.000
Steve Nash,G,33:49,7,12,0.583,4,5,0.800,2,2,1.000,0,2,2,4,1,0,3,0,20,2.000
Antawn Jamison,,26:40,5,10,0.500,2,5,0.400,1,2,0.500,3,2,5,0,0,0,1,2,13,-7.000
Jodie Meeks,,26:31,2,6,0.333,2,6,0.333,5,5,1.000,0,3,3,0,2,0,0,1,11,13.000
Steve Blake,,16:04,2,5,0.400,1,3,0.333,0,0,0.000,0,2,2,2,0,0,0,1,5,-2.000
Shawn Marion,F,25:07,3,4,0.750,0,1,0.000,0,0,0.000,3,5,8,2,1,0,0,1,6,-7.000
Dirk Nowitzki,F,38:47,11,19,0.579,4,4,1.000,4,5,0.800,0,13,13,1,3,0,2,1,30,5.000
LAL
Bernard James,C,3:06,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,2,0,-4.000
O.J. Mayo,G,34:36,2,9,0.222,1,3,0.333,3,6,0.500,0,3,3,2,2,0,3,5,8,-17.000
Darren Collison,G,28:43,3,11,0.273,1,2,0.500,0,0,0.000,1,0,1,4,3,0,1,1,7,-4.000
Elton Brand,,28:37,6,13,0.462,0,0,0.000,2,4,0.500,5,3,8,2,0,0,1,5,14,-12.000
Vince Carter,,28:16,6,13,0.462,1,5,0.200,2,2,1.000,0,1,1,3,2,1,2,3,15,1.000
Brandan Wright,,6:34,3,4,0.750,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,6,6.000
Mike James,,19:17,3,9,0.333,0,1,0.000,0,0,0.000,1,2,3,4,0,0,0,2,6,0.000
Jae Crowder,,18:36,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,1,0,0,1,0,3,4.000
Chris Kaman,,8:17,1,2,0.500,0,0,0.000,2,2,1.000,1,3,4,0,0,0,1,3,4,8.000
Anthony Morrow,,0:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
