02-28,DAL-MEM,84-90,Team,
38-19,17-23,5-24,24-24,
DAL
Shawn Marion,F,29:22,8,12,0.667,0,1,0.000,0,0,0.000,3,5,8,0,1,1,4,4,16,-4.000
Dirk Nowitzki,F,33:04,4,11,0.364,0,1,0.000,2,2,1.000,0,4,4,2,0,3,1,3,10,-4.000
Chris Kaman,C,21:53,3,5,0.600,0,0,0.000,0,0,0.000,0,4,4,3,0,2,0,0,6,4.000
O.J. Mayo,G,40:11,5,13,0.385,0,0,0.000,1,2,0.500,0,2,2,2,0,1,5,2,11,-17.000
Darren Collison,G,26:32,1,5,0.200,1,2,0.500,5,6,0.833,1,4,5,6,2,0,4,0,8,-8.000
Vince Carter,,27:15,3,8,0.375,0,2,0.000,0,2,0.000,0,2,2,3,0,0,3,4,6,-4.000
Elton Brand,,25:45,4,7,0.571,0,0,0.000,4,4,1.000,1,5,6,0,1,2,3,5,12,-10.000
Mike James,,21:22,2,10,0.200,0,3,0.000,2,2,1.000,0,0,0,3,4,0,1,2,6,4.000
Jae Crowder,,14:07,3,5,0.600,2,3,0.667,1,1,1.000,1,3,4,1,1,0,0,3,9,9.000
Brandan Wright,,0:14,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Anthony Morrow,,0:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
MEM
Tayshaun Prince,F,26:12,2,8,0.250,0,1,0.000,0,0,0.000,1,7,8,0,0,0,1,3,4,18.000
Zach Randolph,F,38:26,7,16,0.438,0,1,0.000,8,10,0.800,2,8,10,4,3,0,3,2,22,5.000
Marc Gasol,C,38:26,6,14,0.429,0,0,0.000,9,11,0.818,6,6,12,5,1,0,4,5,21,11.000
Tony Allen,G,25:13,2,7,0.286,0,0,0.000,5,6,0.833,1,2,3,1,2,0,1,4,9,4.000
Mike Conley,G,36:36,2,13,0.154,0,4,0.000,1,1,1.000,0,4,4,6,3,0,4,1,5,8.000
Quincy Pondexter,,26:18,3,4,0.750,2,3,0.667,4,4,1.000,0,1,1,2,0,0,0,1,12,-6.000
Darrell Arthur,,14:11,2,5,0.400,0,0,0.000,0,0,0.000,0,1,1,0,1,1,1,1,4,2.000
Jerryd Bayless,,13:50,1,3,0.333,1,1,1.000,0,0,0.000,0,2,2,2,1,0,1,2,3,2.000
Austin Daye,,15:51,4,8,0.500,2,4,0.500,0,0,0.000,1,3,4,1,0,1,0,3,10,-8.000
Ed Davis,,4:57,0,0,0.000,0,0,0.000,0,2,0.000,0,1,1,0,0,0,0,1,0,-6.000
