03-06,SAC-DEN,113-120,Team,
22-24,28-26,29-36,34-34,
SAC
Danilo Gallinari,F,36:29,7,11,0.636,5,6,0.833,4,4,1.000,1,3,4,4,0,0,1,1,23,6.000
Kenneth Faried,F,21:23,9,15,0.600,0,0,0.000,1,2,0.500,3,9,12,1,1,1,1,4,19,20.000
Kosta Koufos,C,23:50,6,9,0.667,0,0,0.000,3,3,1.000,4,4,8,1,0,1,1,4,15,8.000
Andre Iguodala,G,32:38,2,6,0.333,1,3,0.333,1,4,0.250,2,3,5,7,5,0,3,2,6,10.000
Ty Lawson,G,34:57,8,16,0.500,2,6,0.333,6,12,0.500,0,3,3,7,1,0,3,5,24,14.000
JaVale McGee,,21:02,4,7,0.571,0,0,0.000,0,1,0.000,1,1,2,0,0,4,2,5,8,-7.000
Wilson Chandler,,21:29,1,7,0.143,0,1,0.000,2,2,1.000,1,3,4,1,3,0,0,0,4,-12.000
Corey Brewer,,20:48,1,3,0.333,0,0,0.000,3,4,0.750,0,1,1,2,2,0,0,3,5,-1.000
Andre Miller,,27:24,8,11,0.727,0,0,0.000,0,0,0.000,1,0,1,7,0,0,1,2,16,-3.000
DEN
John Salmons,F,32:08,4,9,0.444,3,7,0.429,0,0,0.000,1,3,4,2,0,1,2,5,11,-7.000
Jason Thompson,F,28:43,9,11,0.818,0,0,0.000,0,0,0.000,2,4,6,2,1,0,2,5,18,-4.000
DeMarcus Cousins,C,27:29,1,12,0.083,0,1,0.000,6,10,0.600,3,10,13,3,0,5,3,3,8,-13.000
Tyreke Evans,G,32:10,2,5,0.400,1,4,0.250,2,2,1.000,0,1,1,2,0,0,2,3,7,-16.000
Isaiah Thomas,G,34:07,6,13,0.462,3,6,0.500,8,9,0.889,1,2,3,8,1,1,2,2,23,-7.000
Charles Hayes,,19:50,1,4,0.250,0,0,0.000,0,0,0.000,2,5,7,1,1,0,1,1,2,5.000
Marcus Thornton,,34:38,12,21,0.571,5,11,0.455,3,3,1.000,2,2,4,2,0,0,1,1,32,9.000
Jimmer Fredette,,12:29,1,5,0.200,0,1,0.000,2,2,1.000,0,0,0,2,2,0,0,2,4,-1.000
Patrick Patterson,,10:56,2,3,0.667,0,1,0.000,2,2,1.000,2,0,2,0,0,0,1,0,6,2.000
