03-19,PHX-LAL,99-76,Team,
21-25,26-19,24-22,28-10,
PHX
Metta World Peace,F,39:05,5,17,0.294,2,9,0.222,0,0,0.000,0,6,6,3,5,0,3,1,12,-17.000
Earl Clark,F,30:20,2,5,0.400,0,1,0.000,0,2,0.000,4,6,10,1,1,0,2,1,4,-12.000
Dwight Howard,C,37:10,6,18,0.333,0,0,0.000,4,5,0.800,5,6,11,1,1,1,4,4,16,-14.000
Jodie Meeks,G,33:28,3,9,0.333,0,1,0.000,2,2,1.000,3,3,6,2,1,0,2,2,8,-15.000
Steve Nash,G,31:34,6,17,0.353,1,2,0.500,6,6,1.000,2,3,5,4,1,0,3,1,19,-3.000
Antawn Jamison,,22:53,1,6,0.167,1,3,0.333,0,0,0.000,0,5,5,0,0,0,3,2,3,-13.000
Steve Blake,,34:18,6,11,0.545,1,5,0.200,0,0,0.000,0,1,1,4,1,0,0,1,13,-21.000
Darius Morris,,2:48,0,2,0.000,0,0,0.000,1,1,1.000,0,0,0,0,0,0,1,0,1,-5.000
Devin Ebanks,,2:48,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-5.000
Chris Duhon,,2:48,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-5.000
LAL
Robert Sacre,,2:48,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-5.000
PJ Tucker,F,16:48,3,6,0.500,0,1,0.000,0,0,0.000,0,1,1,1,1,0,2,1,6,-3.000
Markieff Morris,F,24:00,4,8,0.500,1,1,1.000,0,0,0.000,2,6,8,1,2,1,2,0,9,-2.000
Wesley Johnson,G,37:05,6,17,0.353,1,5,0.200,1,3,0.333,1,8,9,0,2,1,1,0,14,7.000
Goran Dragic,G,31:24,5,10,0.500,0,1,0.000,2,4,0.500,2,2,4,10,2,2,5,3,12,10.000
Hamed Haddadi,,14:35,2,2,1.000,0,0,0.000,0,2,0.000,1,3,4,0,0,1,1,2,4,-4.000
Jared Dudley,,31:12,5,8,0.625,2,5,0.400,1,2,0.500,2,4,6,1,2,0,0,2,13,26.000
Luis Scola,,20:02,5,11,0.455,1,1,1.000,3,4,0.750,3,6,9,2,0,0,0,5,14,22.000
Kendall Marshall,,25:37,4,6,0.667,3,4,0.750,0,0,0.000,0,5,5,5,0,0,4,1,11,26.000
Michael Beasley,,24:00,5,13,0.385,0,2,0.000,0,0,0.000,1,5,6,0,1,0,1,0,10,25.000
