04-06,ORL-CHI,86-87,Team,
19-14,24-26,27-26,16-21,
ORL
Maurice Harkless,F,8:22,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,2,0,1,0,-3.000
Tobias Harris,F,44:32,5,17,0.294,0,1,0.000,2,2,1.000,2,9,11,3,1,2,2,3,12,2.000
Nikola Vucevic,C,40:13,8,14,0.571,0,0,0.000,0,0,0.000,4,11,15,3,2,2,4,2,16,0.000
Andrew Nicholson,G,25:10,2,4,0.500,0,0,0.000,2,2,1.000,1,4,5,0,0,0,1,1,6,1.000
Beno Udrih,G,36:08,10,17,0.588,3,5,0.600,4,4,1.000,1,4,5,7,2,0,4,1,27,4.000
DeQuan Jones,,36:05,3,11,0.273,1,3,0.333,3,4,0.750,0,2,2,0,0,1,1,3,10,-3.000
Doron Lamb,,28:02,1,5,0.200,0,0,0.000,1,3,0.333,0,1,1,1,1,0,0,2,3,3.000
CHI
Luol Deng,F,41:21,5,18,0.278,2,5,0.400,7,7,1.000,1,3,4,2,1,1,1,0,19,4.000
Carlos Boozer,F,39:02,6,16,0.375,0,0,0.000,0,0,0.000,1,8,9,4,2,0,6,3,12,1.000
Nazr Mohammed,C,31:21,1,6,0.167,0,0,0.000,3,4,0.750,4,7,11,1,0,3,0,2,5,-1.000
Jimmy Butler,G,42:39,5,13,0.385,0,2,0.000,2,2,1.000,2,1,3,1,2,0,0,0,12,-4.000
Kirk Hinrich,G,34:21,5,9,0.556,2,5,0.400,1,1,1.000,0,3,3,4,2,1,1,1,13,-5.000
Nate Robinson,,28:09,8,17,0.471,3,7,0.429,0,0,0.000,0,3,3,5,1,0,3,3,19,2.000
Vladimir Radmanovic,,23:07,3,3,1.000,1,1,1.000,0,0,0.000,1,3,4,2,2,1,0,3,7,8.000
