04-06,TOR-MIN,95-93,Team,
18-24,28-24,25-25,24-20,
TOR
Rudy Gay,F,35:21,12,23,0.522,1,3,0.333,1,1,1.000,1,4,5,3,2,0,2,3,26,1.000
Amir Johnson,F,21:56,1,3,0.333,0,0,0.000,1,2,0.500,1,7,8,1,0,2,2,3,3,-15.000
Jonas Valanciunas,C,32:39,2,4,0.500,0,0,0.000,8,10,0.800,2,2,4,0,0,3,1,4,12,-1.000
DeMar DeRozan,G,35:46,12,23,0.522,0,1,0.000,1,1,1.000,1,3,4,1,0,0,1,3,25,-4.000
Kyle Lowry,G,32:38,5,11,0.455,1,4,0.250,0,0,0.000,1,1,2,7,2,0,3,4,11,-7.000
Aaron Gray,,15:21,2,3,0.667,0,0,0.000,0,2,0.000,2,2,4,1,0,1,0,5,4,3.000
Alan Anderson,,8:35,1,5,0.200,0,2,0.000,0,0,0.000,0,2,2,1,1,0,1,0,2,1.000
Sebastian Telfair,,15:22,1,4,0.250,1,3,0.333,0,0,0.000,0,2,2,2,0,0,2,2,3,9.000
Quincy Acy,,7:23,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,1,0,1,0,0,6.000
Terrence Ross,,16:28,3,5,0.600,1,2,0.500,0,0,0.000,0,1,1,0,0,0,0,2,7,6.000
Landry Fields,,18:32,1,4,0.250,0,0,0.000,0,0,0.000,3,4,7,1,0,0,0,0,2,11.000
MIN
Andrei Kirilenko,F,34:47,8,10,0.800,1,3,0.333,3,6,0.500,0,6,6,1,3,1,1,1,20,2.000
Derrick Williams,F,20:13,1,4,0.250,0,1,0.000,6,6,1.000,2,3,5,1,0,0,2,0,8,11.000
Nikola Pekovic,C,41:03,6,12,0.500,0,0,0.000,12,16,0.750,2,6,8,0,1,0,1,2,24,-1.000
Luke Ridnour,G,23:15,3,6,0.500,0,1,0.000,2,2,1.000,0,1,1,4,0,0,2,3,8,9.000
Ricky Rubio,G,36:44,3,10,0.300,1,3,0.333,6,8,0.750,0,5,5,12,1,0,4,3,13,5.000
Chase Budinger,,26:45,3,6,0.500,1,3,0.333,1,2,0.500,1,1,2,1,0,0,1,1,8,-11.000
Dante Cunningham,,27:47,4,8,0.500,0,0,0.000,0,0,0.000,0,6,6,2,4,1,0,5,8,-13.000
Jose Juan Barea,,14:34,0,5,0.000,0,2,0.000,0,0,0.000,1,2,3,2,0,0,1,0,0,-7.000
Alexey Shved,,7:55,2,6,0.333,0,2,0.000,0,0,0.000,1,1,2,0,0,1,1,1,4,-4.000
Greg Stiemsma,,6:57,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,1,0,-1.000
