04-08,UTA-GSW,97-90,Team,
24-27,32-21,21-21,20-21,
UTA
Gordon Hayward,F,36:09,5,11,0.455,3,6,0.500,0,0,0.000,2,1,3,6,1,0,4,2,13,5.000
Paul Millsap,F,34:44,5,13,0.385,0,0,0.000,1,2,0.500,0,6,6,4,1,1,3,1,11,13.000
Al Jefferson,C,31:46,8,17,0.471,0,0,0.000,3,3,1.000,2,10,12,5,2,1,1,3,19,2.000
Randy Foye,G,35:55,3,11,0.273,2,8,0.250,0,0,0.000,0,0,0,1,1,1,1,2,8,12.000
Mo Williams,G,32:59,11,19,0.579,3,6,0.500,0,0,0.000,1,3,4,5,2,0,3,3,25,15.000
Derrick Favors,,29:30,5,9,0.556,0,0,0.000,2,2,1.000,6,7,13,1,0,3,1,1,12,-1.000
Jamaal Tinsley,,15:01,2,5,0.400,2,3,0.667,0,0,0.000,1,0,1,2,2,0,0,0,6,-8.000
Marvin Williams,,7:09,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,2,0,0,0,1,3,-3.000
DeMarre Carroll,,16:47,0,2,0.000,0,1,0.000,0,0,0.000,1,2,3,3,1,0,0,1,0,0.000
GSW
Harrison Barnes,F,22:59,1,3,0.333,0,2,0.000,2,2,1.000,0,3,3,3,0,0,1,0,4,2.000
David Lee,F,44:54,8,17,0.471,0,0,0.000,5,7,0.714,2,11,13,1,1,0,2,1,21,-9.000
Andrew Bogut,C,23:29,1,3,0.333,0,0,0.000,0,0,0.000,1,5,6,2,0,1,3,2,2,-9.000
Klay Thompson,G,42:14,8,15,0.533,2,3,0.667,2,4,0.500,0,2,2,2,1,1,3,3,20,-7.000
Stephen Curry,G,45:09,8,19,0.421,4,9,0.444,2,2,1.000,1,3,4,5,1,0,5,3,22,-5.000
Festus Ezeli,,5:35,1,1,1.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,2,7.000
Jarrett Jack,,33:30,3,9,0.333,1,3,0.333,0,0,0.000,0,2,2,6,1,0,2,2,7,-5.000
Carl Landry,,18:46,4,5,0.800,0,0,0.000,2,3,0.667,1,6,7,2,1,0,0,2,10,-1.000
Kent Bazemore,,0:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
Draymond Green,,3:20,1,2,0.500,0,0,0.000,0,0,0.000,2,1,3,0,0,0,0,2,2,-5.000
