04-10,TOR-CHI,101-98,Team,
31-22,23-28,27-18,20-30,
TOR
Rudy Gay,F,36:56,6,14,0.429,3,5,0.600,4,5,0.800,0,6,6,2,0,0,1,4,19,4.000
Amir Johnson,F,45:28,5,8,0.625,0,0,0.000,3,3,1.000,2,9,11,2,0,1,0,4,13,7.000
Jonas Valanciunas,C,23:16,2,3,0.667,0,0,0.000,4,4,1.000,0,3,3,2,1,1,2,5,8,-1.000
DeMar DeRozan,G,34:20,8,13,0.615,0,2,0.000,4,7,0.571,0,2,2,2,1,0,0,1,20,6.000
Kyle Lowry,G,34:22,6,11,0.545,1,5,0.200,0,0,0.000,0,3,3,10,2,0,2,2,13,7.000
Terrence Ross,,18:26,5,9,0.556,2,3,0.667,1,1,1.000,0,2,2,0,0,0,0,1,13,-3.000
Quincy Acy,,27:12,2,5,0.400,0,0,0.000,4,4,1.000,1,5,6,1,1,1,1,3,8,1.000
John Lucas III,,13:38,2,6,0.333,0,1,0.000,0,0,0.000,0,0,0,2,1,0,1,0,4,-4.000
Alan Anderson,,6:18,1,3,0.333,1,2,0.500,0,0,0.000,0,0,0,1,0,0,1,1,3,-1.000
Landry Fields,,0:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
CHI
Jimmy Butler,F,48:00,10,12,0.833,3,3,1.000,5,6,0.833,2,5,7,2,2,0,2,3,28,-3.000
Carlos Boozer,F,43:52,7,20,0.350,0,0,0.000,5,6,0.833,2,9,11,8,0,0,4,2,19,-10.000
Nazr Mohammed,C,25:14,3,9,0.333,0,0,0.000,0,0,0.000,6,4,10,0,0,1,1,2,6,-7.000
Marco Belinelli,G,18:37,3,7,0.429,1,2,0.500,1,1,1.000,0,0,0,1,0,0,0,1,8,-16.000
Kirk Hinrich,G,32:27,2,5,0.400,1,2,0.500,0,0,0.000,0,3,3,6,0,0,0,4,5,0.000
Malcolm Thomas,,26:21,3,6,0.500,0,0,0.000,0,2,0.000,3,5,8,2,1,1,0,4,6,9.000
Nate Robinson,,30:40,7,22,0.318,5,9,0.556,3,5,0.600,0,1,1,4,0,0,2,4,22,17.000
Richard Hamilton,,14:16,2,5,0.400,0,1,0.000,0,0,0.000,0,0,0,1,0,0,1,1,4,-7.000
Vladimir Radmanovic,,0:33,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
