04-18,NOH-DAL,87-99,Team,
18-19,21-28,25-28,23-24,
NOH
Ryan Anderson,F,36:25,4,13,0.308,1,3,0.333,4,5,0.800,6,1,7,0,0,0,0,2,13,-12.000
Robin Lopez,C,32:42,6,11,0.545,0,0,0.000,2,2,1.000,7,6,13,0,0,0,2,2,14,-14.000
Eric Gordon,G,34:13,4,17,0.235,0,2,0.000,8,9,0.889,0,3,3,3,4,1,4,3,16,-11.000
Brian Roberts,G,42:00,5,17,0.294,2,5,0.400,1,1,1.000,0,3,3,6,0,0,3,4,13,-11.000
Lou Amundson,,21:44,2,3,0.667,0,0,0.000,2,6,0.333,3,3,6,0,1,1,1,0,6,1.000
Xavier Henry,,19:49,1,5,0.200,0,0,0.000,4,5,0.800,1,3,4,0,0,0,3,3,6,-5.000
Terrel Harris,,2:30,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,2,1,0,-6.000
Darius Miller,,6:59,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,4.000
Roger Mason Jr.,,9:45,1,2,0.500,1,1,1.000,0,0,0.000,0,1,1,1,0,0,0,0,3,3.000
DAL
Shawn Marion,F,30:47,7,12,0.583,0,1,0.000,1,1,1.000,1,6,7,3,3,0,2,0,15,14.000
Dirk Nowitzki,F,28:04,7,15,0.467,0,3,0.000,2,2,1.000,1,8,9,4,0,1,0,2,16,3.000
Chris Kaman,C,13:01,3,5,0.600,0,0,0.000,0,0,0.000,0,5,5,0,1,0,2,1,6,-3.000
O.J. Mayo,G,30:21,2,6,0.333,1,3,0.333,0,0,0.000,0,2,2,3,0,0,3,2,5,5.000
Mike James,G,17:29,3,5,0.600,3,4,0.750,0,0,0.000,0,0,0,2,2,0,1,3,9,1.000
Darren Collison,,28:15,10,15,0.667,1,2,0.500,4,6,0.667,1,1,2,4,2,1,0,1,25,15.000
Vince Carter,,26:49,4,7,0.571,1,2,0.500,0,0,0.000,0,2,2,4,1,0,0,3,9,19.000
Brandan Wright,,18:33,2,6,0.333,0,0,0.000,0,0,0.000,0,1,1,0,0,2,1,3,4,1.000
Jae Crowder,,20:17,1,5,0.200,0,1,0.000,2,2,1.000,3,1,4,2,2,1,1,4,4,9.000
Anthony Morrow,,4:24,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,2,2,-8.000
Elton Brand,,16:26,1,4,0.250,0,0,0.000,0,0,0.000,1,3,4,2,1,0,0,1,2,14.000
Bernard James,,3:18,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,2,-6.000
Josh Akognon,,2:16,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-4.000
