04-18,PHX-DEN,98-118,Team,
20-35,20-31,29-25,29-27,
PHX
PJ Tucker,F,25:53,4,9,0.444,2,4,0.500,4,4,1.000,3,4,7,0,3,1,2,0,14,-18.000
Markieff Morris,F,13:03,2,7,0.286,0,1,0.000,0,0,0.000,1,2,3,0,0,0,1,4,4,-14.000
Luis Scola,C,28:05,6,18,0.333,0,0,0.000,5,6,0.833,8,3,11,4,1,0,1,1,17,-17.000
Wesley Johnson,G,20:20,5,11,0.455,2,6,0.333,0,0,0.000,0,3,3,1,0,0,1,2,12,-11.000
Kendall Marshall,G,40:51,1,5,0.200,0,2,0.000,0,0,0.000,1,2,3,14,1,1,0,3,2,-16.000
Jared Dudley,,19:58,2,7,0.286,0,3,0.000,1,3,0.333,1,3,4,3,1,0,2,1,5,-7.000
Michael Beasley,,23:55,5,17,0.294,2,4,0.500,1,2,0.500,1,2,3,1,0,1,2,0,13,-4.000
Marcus Morris,,15:18,2,4,0.500,0,1,0.000,0,2,0.000,1,3,4,2,1,0,0,1,4,-13.000
Hamed Haddadi,,19:55,7,11,0.636,0,0,0.000,0,0,0.000,2,5,7,1,0,2,1,1,14,-3.000
Diante Garrett,,14:51,0,7,0.000,0,3,0.000,0,0,0.000,1,0,1,3,0,0,2,2,0,-6.000
Shannon Brown,,17:51,6,8,0.750,1,1,1.000,0,0,0.000,1,0,1,0,1,0,0,3,13,9.000
DEN
Andre Iguodala,F,31:11,8,14,0.571,0,2,0.000,4,6,0.667,1,4,5,5,2,2,3,0,20,14.000
Wilson Chandler,F,25:04,8,14,0.571,2,5,0.400,3,3,1.000,3,3,6,4,2,0,2,2,21,15.000
Kosta Koufos,C,17:26,5,8,0.625,0,0,0.000,1,1,1.000,1,4,5,0,0,1,0,2,11,15.000
Evan Fournier,G,30:21,4,11,0.364,0,2,0.000,2,2,1.000,0,2,2,2,2,0,1,2,10,19.000
Ty Lawson,G,23:13,6,9,0.667,2,4,0.500,0,0,0.000,0,1,1,7,0,0,0,0,14,15.000
JaVale McGee,,11:21,1,3,0.333,0,0,0.000,0,0,0.000,0,3,3,0,0,1,2,2,2,8.000
Corey Brewer,,23:13,2,4,0.500,0,2,0.000,0,2,0.000,0,3,3,1,1,0,3,1,4,7.000
Anthony Randolph,,22:04,4,5,0.800,0,0,0.000,3,3,1.000,3,11,14,2,1,3,3,0,11,3.000
Andre Miller,,20:57,1,3,0.333,0,0,0.000,1,1,1.000,0,1,1,6,0,0,0,2,3,6.000
Timofey Mozgov,,20:05,4,11,0.364,0,0,0.000,2,2,1.000,5,5,10,0,0,1,2,2,10,-1.000
Jordan Hamilton,,11:15,4,8,0.500,0,1,0.000,0,0,0.000,1,2,3,1,0,0,0,0,8,0.000
Quincy Miller,,3:50,2,3,0.667,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,0,4,-1.000
