04-26,MEM-LAC,94-82,Playoff,
23-20,24-19,23-23,24-20,
MEM
Caron Butler,F,23:34,3,6,0.500,2,4,0.500,2,2,1.000,0,2,2,0,0,1,0,2,10,-11.000
Blake Griffin,F,32:52,5,12,0.417,0,0,0.000,6,7,0.857,0,2,2,1,0,2,2,5,16,-17.000
DeAndre Jordan,C,24:29,1,3,0.333,0,0,0.000,0,0,0.000,2,6,8,0,0,3,2,3,2,-12.000
Chauncey Billups,G,22:39,3,8,0.375,2,4,0.500,3,3,1.000,0,2,2,2,0,0,2,2,11,-8.000
Chris Paul,G,35:08,4,11,0.364,0,2,0.000,0,0,0.000,0,6,6,4,3,0,5,4,8,-19.000
Jamal Crawford,,23:45,3,10,0.300,1,2,0.500,3,3,1.000,0,3,3,3,0,0,1,2,10,-3.000
Matt Barnes,,26:01,2,6,0.333,1,5,0.200,7,8,0.875,0,2,2,0,0,0,1,4,12,-1.000
Ryan Hollins,,9:02,0,1,0.000,0,0,0.000,0,0,0.000,3,1,4,0,0,1,1,0,0,1.000
Eric Bledsoe,,14:28,0,4,0.000,0,2,0.000,0,0,0.000,0,1,1,3,1,0,1,3,0,6.000
Lamar Odom,,13:33,3,4,0.750,3,4,0.750,0,0,0.000,0,2,2,1,1,1,0,1,9,5.000
LAC
Ronny Turiaf,,14:29,2,2,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,2,1,3,4,-1.000
Tayshaun Prince,F,29:54,1,3,0.333,0,0,0.000,0,2,0.000,1,0,1,0,2,0,1,1,2,11.000
Zach Randolph,F,37:29,9,18,0.500,0,0,0.000,9,10,0.900,6,5,11,2,1,0,1,5,27,19.000
Marc Gasol,C,35:60,6,13,0.462,0,0,0.000,4,8,0.500,0,8,8,2,0,1,0,3,16,16.000
Tony Allen,G,30:45,4,11,0.364,1,3,0.333,4,4,1.000,2,7,9,1,4,0,3,3,13,9.000
Mike Conley,G,37:11,1,9,0.111,0,4,0.000,4,4,1.000,2,4,6,10,3,2,0,0,6,15.000
Jerryd Bayless,,9:58,2,6,0.333,1,3,0.333,0,0,0.000,0,0,0,1,0,0,3,3,5,-2.000
Keyon Dooling,,10:19,2,5,0.400,1,2,0.500,2,2,1.000,0,0,0,1,0,0,1,1,7,-3.000
Darrell Arthur,,17:03,2,5,0.400,0,0,0.000,1,2,0.500,3,3,6,1,0,0,0,3,5,-6.000
Ed Davis,,5:28,0,1,0.000,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,1,0,-5.000
