04-29,DEN-GSW,101-115,Playoff,
21-25,23-31,28-35,29-24,
DEN
Andre Iguodala,F,39:40,7,11,0.636,2,3,0.667,3,4,0.750,2,6,8,2,2,0,7,2,19,-22.000
Wilson Chandler,F,22:58,3,6,0.500,0,1,0.000,0,0,0.000,1,1,2,3,2,0,1,6,6,-6.000
Kenneth Faried,C,33:13,3,6,0.500,0,0,0.000,2,2,1.000,3,9,12,0,0,0,0,2,8,-1.000
Evan Fournier,G,8:42,1,5,0.200,0,4,0.000,0,0,0.000,0,0,0,0,0,0,1,1,2,1.000
Ty Lawson,G,38:29,11,20,0.550,0,3,0.000,4,5,0.800,1,2,3,6,0,0,5,2,26,-20.000
JaVale McGee,,14:26,1,3,0.333,0,0,0.000,2,4,0.500,2,1,3,0,0,1,3,4,4,-8.000
Corey Brewer,,29:22,3,9,0.333,3,8,0.375,5,8,0.625,0,1,1,0,1,0,2,3,14,-13.000
Andre Miller,,20:07,3,9,0.333,1,1,1.000,5,7,0.714,2,1,3,1,0,0,3,3,12,-5.000
Kosta Koufos,,14:08,0,0,0.000,0,0,0.000,2,2,1.000,1,2,3,1,0,1,0,2,2,-8.000
Anthony Randolph,,8:51,1,1,1.000,0,0,0.000,4,4,1.000,0,2,2,0,1,0,1,1,6,-2.000
Julyan Stone,,8:08,0,0,0.000,0,0,0.000,2,2,1.000,0,0,0,1,0,0,0,1,2,12.000
Jordan Hamilton,,1:56,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,2.000
GSW
Harrison Barnes,F,30:51,2,9,0.222,0,4,0.000,0,0,0.000,1,3,4,0,1,0,2,5,4,3.000
Jarrett Jack,F,41:48,8,9,0.889,1,1,1.000,4,4,1.000,0,5,5,9,0,1,2,4,21,22.000
Andrew Bogut,C,25:54,6,9,0.667,0,0,0.000,0,2,0.000,3,2,5,1,1,2,3,3,12,-2.000
Klay Thompson,G,42:36,5,10,0.500,2,5,0.400,1,2,0.500,0,2,2,5,2,0,3,3,13,21.000
Stephen Curry,G,33:06,10,16,0.625,6,11,0.545,5,5,1.000,0,3,3,7,4,0,2,4,31,21.000
Festus Ezeli,,6:18,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,0,9.000
Carl Landry,,18:10,6,11,0.545,0,0,0.000,5,6,0.833,0,1,1,2,1,0,1,0,17,6.000
Draymond Green,,24:59,5,8,0.625,2,4,0.500,1,2,0.500,2,4,6,2,4,1,2,2,13,15.000
Kent Bazemore,,4:08,0,3,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-9.000
Richard Jefferson,,8:41,1,3,0.333,0,0,0.000,0,2,0.000,1,0,1,1,0,1,0,2,2,-9.000
Scott Machado,,3:30,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,1,2,-7.000
