04-29,SAS-LAL,103-82,Playoff,
26-20,26-14,26-24,25-24,
SAS
Kawhi Leonard,F,32:15,5,10,0.500,1,2,0.500,2,2,1.000,1,6,7,1,3,0,0,0,13,13.000
Tim Duncan,F,29:02,4,9,0.444,0,0,0.000,3,3,1.000,1,5,6,2,1,1,2,1,11,7.000
Aron Baynes,C,16:15,3,6,0.500,0,0,0.000,0,0,0.000,1,1,2,0,0,0,1,1,6,15.000
Danny Green,G,23:37,4,11,0.364,1,3,0.333,0,0,0.000,2,3,5,2,0,1,0,1,9,6.000
Tony Parker,G,26:15,9,16,0.563,0,1,0.000,5,5,1.000,2,1,3,4,2,0,0,0,23,11.000
Matt Bonner,,21:36,1,4,0.250,1,1,1.000,2,2,1.000,0,3,3,0,1,0,0,1,5,3.000
Manu Ginobili,,20:05,2,6,0.333,0,3,0.000,4,6,0.667,0,3,3,6,1,1,2,2,8,9.000
Gary Neal,,20:40,3,7,0.429,2,4,0.500,3,3,1.000,0,2,2,2,2,0,1,0,11,13.000
DeJuan Blair,,18:58,6,9,0.667,0,0,0.000,1,2,0.500,2,3,5,0,2,0,0,4,13,14.000
Cory Joseph,,18:23,2,3,0.667,0,0,0.000,0,0,0.000,0,2,2,6,0,0,0,3,4,12.000
Tracy McGrady,,5:15,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,1,1,0,1,1,0,2.000
Nando De Colo,,4:17,0,2,0.000,0,2,0.000,0,0,0.000,1,0,1,0,0,0,0,0,0,2.000
Patty Mills,,3:22,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-2.000
LAL
Earl Clark,F,31:18,3,6,0.500,0,1,0.000,0,0,0.000,2,4,6,0,0,0,2,2,6,-13.000
Pau Gasol,F,34:49,8,12,0.667,0,0,0.000,0,1,0.000,1,7,8,5,0,2,5,1,16,-19.000
Dwight Howard,C,20:34,2,2,1.000,0,0,0.000,3,9,0.333,1,7,8,1,0,0,5,2,7,-13.000
Darius Morris,G,36:35,3,12,0.250,0,2,0.000,2,2,1.000,0,3,3,6,0,0,3,0,8,-15.000
Andrew Goudelock,G,33:18,7,17,0.412,0,3,0.000,0,0,0.000,1,3,4,1,1,0,2,4,14,-23.000
Chris Duhon,,42:50,4,10,0.400,3,7,0.429,0,0,0.000,0,2,2,7,0,1,4,2,11,-12.000
Antawn Jamison,,22:49,5,9,0.556,2,4,0.500,0,0,0.000,1,4,5,1,0,0,0,3,12,-10.000
Jordan Hill,,14:40,4,7,0.571,0,0,0.000,0,0,0.000,1,3,4,1,0,2,0,1,8,-2.000
Robert Sacre,,3:08,0,1,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,0,0,2.000
