10-27,NOH-MIA,96-89,Preseason,
21-19,26-28,25-23,24-19,
NOH
Anthony Davis,,36,11,18,0.611,0,0,0.000,2,5,0.400,4,7,11,0,3,1,4,1,24,0
Austin Rivers,,24,2,6,0.333,0,1,0.000,2,2,1.000,0,1,1,4,0,0,0,4,6,0
Brian Roberts,,20,0,4,0.000,0,3,0.000,0,0,0.000,0,3,3,2,1,0,1,2,0,0
Darius Miller,,16,2,3,0.667,2,2,1.000,0,0,0.000,0,0,0,0,0,1,3,1,6,0
Greivis Vasquez,,42,5,8,0.625,1,1,1.000,7,9,0.778,0,5,5,10,1,0,5,1,18,0
Lance Thomas,,10,0,1,0.000,0,0,0.000,1,4,0.250,0,1,1,0,1,0,0,2,1,0
Robin Lopez,,28,4,10,0.400,0,0,0.000,3,4,0.750,3,4,7,1,0,4,3,3,11,0
Ryan Anderson,,29,6,10,0.600,5,8,0.625,0,0,0.000,1,6,7,1,0,0,2,3,17,0
MIA
Chris Bosh,,34,8,17,0.471,0,1,0.000,5,5,1.000,3,7,10,2,1,0,2,4,21,0
Dwyane Wade,,32,7,19,0.368,1,3,0.333,0,2,0.000,0,2,2,2,1,0,7,4,15,0
LeBron James,,28,8,17,0.471,0,1,0.000,3,4,0.750,3,5,8,4,1,0,3,2,19,0
Mario Chalmers,,27,0,3,0.000,0,0,0.000,2,2,1.000,0,1,1,5,2,0,2,3,2,0
Mike Miller,,14,4,7,0.571,3,5,0.600,0,0,0.000,2,7,9,1,1,1,0,3,11,0
Norris Cole,,13,2,5,0.400,2,3,0.667,0,0,0.000,0,0,0,1,1,0,1,2,6,0
Rashard Lewis,,26,0,3,0.000,0,2,0.000,0,0,0.000,0,3,3,1,0,0,0,2,0,0
Ray Allen,,30,3,10,0.300,2,6,0.333,5,5,1.000,0,4,4,4,2,0,2,0,13,0
Shane Battier,,21,0,2,0.000,0,2,0.000,0,0,0.000,1,0,1,1,0,0,0,3,0,0
Udonis Haslem,,14,1,3,0.333,0,0,0.000,0,0,0.000,1,0,1,0,0,0,0,4,2,0
