11-19,SAC-BKN,90-99,Team,
20-21,22-33,23-20,25-25,
SAC
Gerald Wallace,F,24:30,2,3,0.667,0,1,0.000,0,0,0.000,0,1,1,3,1,0,4,2,4,-11.000
Kris Humphries,F,25:59,3,6,0.500,0,0,0.000,0,0,0.000,3,7,10,0,3,2,0,3,6,10.000
Brook Lopez,C,27:60,5,14,0.357,0,0,0.000,3,4,0.750,1,4,5,0,1,4,1,2,13,8.000
Joe Johnson,G,36:26,1,10,0.100,0,3,0.000,8,9,0.889,0,2,2,3,0,0,1,1,10,-4.000
Deron Williams,G,32:51,4,12,0.333,1,5,0.200,5,5,1.000,0,5,5,10,2,0,2,2,14,8.000
CJ Watson,,23:21,4,7,0.571,3,4,0.750,2,2,1.000,0,0,0,3,1,0,0,2,13,5.000
Jerry Stackhouse,,14:46,0,4,0.000,0,3,0.000,0,0,0.000,0,3,3,0,0,0,1,0,0,17.000
Reggie Evans,,21:55,1,1,1.000,0,0,0.000,1,1,1.000,1,3,4,1,0,0,1,5,3,-2.000
Andray Blatche,,19:28,11,12,0.917,0,0,0.000,0,1,0.000,2,0,2,1,0,0,0,0,22,2.000
MarShon Brooks,,12:22,5,6,0.833,1,1,1.000,3,3,1.000,0,1,1,1,0,0,0,0,14,13.000
Tyshawn Taylor,,0:24,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-1.000
BKN
John Salmons,F,27:45,1,3,0.333,0,2,0.000,0,0,0.000,0,5,5,1,0,0,0,1,2,2.000
Jason Thompson,F,26:45,4,9,0.444,0,0,0.000,0,2,0.000,5,3,8,0,0,1,3,2,8,-6.000
DeMarcus Cousins,C,34:24,12,21,0.571,1,1,1.000,4,6,0.667,2,5,7,3,2,1,4,3,29,-2.000
Tyreke Evans,G,31:34,8,14,0.571,1,2,0.500,4,6,0.667,1,6,7,2,1,2,2,3,21,-2.000
Aaron Brooks,G,17:60,2,2,1.000,0,0,0.000,0,1,0.000,0,2,2,0,0,0,2,2,4,-1.000
Thomas Robinson,,19:32,2,4,0.500,0,0,0.000,0,0,0.000,3,1,4,2,0,0,1,3,4,-1.000
Marcus Thornton,,26:23,4,13,0.308,3,10,0.300,1,2,0.500,0,2,2,0,0,0,1,5,12,-17.000
Charles Hayes,,14:30,1,5,0.200,0,0,0.000,0,0,0.000,3,0,3,0,0,0,1,1,2,-9.000
Jimmer Fredette,,10:25,1,3,0.333,1,1,1.000,0,0,0.000,0,1,1,0,1,0,1,1,3,-6.000
James Johnson,,16:40,2,3,0.667,0,0,0.000,0,0,0.000,1,1,2,1,2,0,2,0,4,-5.000
Isaiah Thomas,,14:02,0,3,0.000,0,2,0.000,1,2,0.500,0,1,1,4,0,0,0,3,1,2.000
