11-24,SAS-IND,104-97,Team,
28-25,20-27,25-25,31-20,
SAS
Danny Green,F,34:04,3,9,0.333,1,6,0.167,2,2,1.000,0,4,4,1,1,0,1,1,9,1.000
Tim Duncan,F,31:09,10,19,0.526,0,0,0.000,2,2,1.000,3,14,17,1,1,0,0,4,22,15.000
DeJuan Blair,C,14:48,1,2,0.500,0,0,0.000,2,2,1.000,0,2,2,0,0,0,1,3,4,2.000
Gary Neal,G,28:04,2,5,0.400,0,1,0.000,4,4,1.000,0,5,5,1,1,0,0,2,8,4.000
Tony Parker,G,37:10,15,23,0.652,0,1,0.000,3,4,0.750,0,1,1,10,2,0,3,3,33,23.000
Boris Diaw,,25:58,1,1,1.000,0,0,0.000,0,0,0.000,1,1,2,2,0,0,1,5,2,4.000
Manu Ginobili,,28:05,7,18,0.389,1,7,0.143,4,4,1.000,1,1,2,3,2,2,1,0,19,3.000
Tiago Splitter,,21:40,1,2,0.500,0,0,0.000,3,4,0.750,1,2,3,1,0,0,1,2,5,-10.000
Nando De Colo,,5:10,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,0,0,0,1,1,0,-10.000
Matt Bonner,,8:40,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,2,6.000
Patty Mills,,5:12,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,1,0,0,-3.000
IND
Paul George,F,34:07,6,14,0.429,2,2,1.000,1,2,0.500,1,3,4,2,0,1,3,2,15,-18.000
David West,F,29:59,7,13,0.538,0,0,0.000,8,11,0.727,3,5,8,3,0,0,1,3,22,-13.000
Roy Hibbert,C,29:41,5,18,0.278,0,0,0.000,0,0,0.000,7,4,11,2,0,2,0,4,10,-13.000
Lance Stephenson,G,24:40,4,5,0.800,1,1,1.000,0,0,0.000,0,2,2,2,0,0,1,1,9,-9.000
George Hill,G,34:26,5,15,0.333,0,5,0.000,1,1,1.000,1,3,4,7,0,0,0,2,11,-19.000
Gerald Green,,16:24,2,5,0.400,2,3,0.667,0,0,0.000,0,0,0,2,0,0,1,1,6,10.000
Tyler Hansbrough,,18:01,1,3,0.333,0,0,0.000,1,2,0.500,4,8,12,0,0,1,1,2,3,6.000
Ian Mahinmi,,17:24,3,7,0.429,0,0,0.000,1,2,0.500,2,1,3,1,1,1,2,4,7,7.000
Sam Young,,20:27,2,5,0.400,1,2,0.500,1,2,0.500,1,3,4,0,0,0,2,0,6,5.000
D.J. Augustin,,14:51,3,7,0.429,1,3,0.333,1,1,1.000,0,1,1,8,0,0,2,4,8,9.000
