11-29,ORL-SAS,89-110,Team,
18-29,23-26,23-26,25-29,
ORL
Danny Green,F,31:36,3,8,0.375,3,6,0.500,0,0,0.000,0,5,5,1,0,2,3,0,9,19.000
Tim Duncan,F,27:13,7,11,0.636,1,1,1.000,0,0,0.000,0,4,4,0,2,5,1,1,15,13.000
DeJuan Blair,C,23:39,5,8,0.625,0,0,0.000,1,2,0.500,3,3,6,1,1,0,2,1,11,1.000
Gary Neal,G,32:16,8,16,0.500,1,4,0.250,2,3,0.667,0,4,4,2,3,0,3,1,19,9.000
Tony Parker,G,29:47,6,12,0.500,0,0,0.000,2,2,1.000,0,1,1,8,0,0,0,0,14,18.000
Manu Ginobili,,23:32,6,9,0.667,6,9,0.667,2,2,1.000,1,3,4,5,1,0,1,3,20,18.000
Boris Diaw,,21:50,1,2,0.500,0,0,0.000,1,2,0.500,3,4,7,5,1,1,0,1,3,20.000
Nando De Colo,,15:43,2,6,0.333,0,3,0.000,0,0,0.000,0,1,1,1,2,0,2,0,4,3.000
Tiago Splitter,,16:29,3,6,0.500,0,0,0.000,3,4,0.750,1,3,4,2,1,1,1,1,9,10.000
Cory Joseph,,6:49,2,3,0.667,0,1,0.000,0,0,0.000,0,1,1,1,1,0,2,0,4,-2.000
Matt Bonner,,6:49,0,1,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,-2.000
SAS
James Anderson,,4:18,1,2,0.500,0,1,0.000,0,0,0.000,0,0,0,0,0,0,1,0,2,-2.000
Maurice Harkless,F,21:26,2,4,0.500,0,1,0.000,0,0,0.000,2,2,4,0,1,0,0,1,4,-10.000
Glen Davis,F,27:39,6,16,0.375,0,0,0.000,0,0,0.000,2,3,5,0,0,1,0,1,12,-9.000
Nikola Vucevic,C,15:43,1,4,0.250,0,0,0.000,0,0,0.000,3,2,5,1,1,1,2,0,2,-1.000
Arron Afflalo,G,29:52,8,16,0.500,0,4,0.000,0,0,0.000,2,3,5,2,2,0,4,1,16,-10.000
Jameer Nelson,G,28:57,7,14,0.500,0,2,0.000,0,0,0.000,2,3,5,3,2,0,2,3,14,-3.000
JJ Redick,,22:14,3,9,0.333,1,4,0.250,0,0,0.000,0,1,1,4,0,0,2,1,7,-10.000
Andrew Nicholson,,13:00,3,5,0.600,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,6,-9.000
Gustavo Ayon,,12:15,2,2,1.000,0,0,0.000,0,0,0.000,1,3,4,1,0,0,1,1,4,-19.000
Josh McRoberts,,13:08,0,1,0.000,0,0,0.000,0,0,0.000,0,3,3,2,1,0,2,2,0,-5.000
DeQuan Jones,,18:59,2,3,0.667,1,1,1.000,2,4,0.500,1,5,6,0,1,1,0,1,7,-9.000
