11-30,SAS-MIA,100-105,Team,
27-22,17-25,32-26,24-32,
SAS
Boris Diaw,F,38:04,5,7,0.714,1,2,0.500,1,2,0.500,3,3,6,0,0,0,1,2,12,-17.000
Matt Bonner,F,29:42,4,7,0.571,2,4,0.500,0,0,0.000,0,10,10,1,0,0,0,1,10,0.000
Tiago Splitter,C,29:34,7,12,0.583,0,0,0.000,4,6,0.667,3,6,9,2,0,1,2,3,18,-5.000
Nando De Colo,G,33:32,4,8,0.500,2,4,0.500,5,6,0.833,3,3,6,5,1,0,5,4,15,-4.000
Patty Mills,G,23:59,3,11,0.273,1,7,0.143,0,0,0.000,0,1,1,2,2,0,4,2,7,-16.000
Gary Neal,,32:14,7,20,0.350,2,8,0.250,4,4,1.000,0,4,4,7,2,0,6,4,20,5.000
DeJuan Blair,,18:27,3,7,0.429,0,0,0.000,0,1,0.000,1,2,3,0,0,0,1,2,6,-2.000
James Anderson,,19:31,2,2,1.000,1,1,1.000,4,5,0.800,0,4,4,3,0,1,0,2,9,9.000
Cory Joseph,,14:57,1,6,0.167,1,4,0.250,0,0,0.000,1,1,2,2,0,0,0,0,3,5.000
MIA
LeBron James,F,39:06,9,16,0.563,2,5,0.400,3,6,0.500,3,6,9,7,4,0,4,2,23,-1.000
Rashard Lewis,F,20:55,1,1,1.000,1,1,1.000,0,0,0.000,0,3,3,1,0,0,1,0,3,-6.000
Chris Bosh,C,36:46,8,14,0.571,0,0,0.000,2,2,1.000,3,9,12,1,0,1,0,3,18,18.000
Dwyane Wade,G,32:23,7,17,0.412,0,0,0.000,5,5,1.000,0,5,5,5,1,0,1,1,19,14.000
Mario Chalmers,G,27:03,3,8,0.375,1,2,0.500,1,1,1.000,0,1,1,4,2,1,1,3,8,12.000
Norris Cole,,19:44,4,9,0.444,0,2,0.000,0,0,0.000,1,1,2,2,1,0,0,3,8,-12.000
Ray Allen,,27:00,7,15,0.467,1,3,0.333,5,5,1.000,0,0,0,1,1,0,0,2,20,-3.000
Udonis Haslem,,17:56,2,4,0.500,0,0,0.000,0,0,0.000,0,4,4,0,0,0,2,3,4,-4.000
Mike Miller,,16:33,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,1,2,0,0,1,2,7.000
Joel Anthony,,2:35,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,0.000
