12-02,BKN-MIA,89-102,Team,
24-16,35-34,19-32,11-20,
BKN
Gerald Wallace,F,37:40,5,11,0.455,1,6,0.167,2,4,0.500,1,8,9,2,1,0,4,4,13,-10.000
Kris Humphries,F,23:17,4,8,0.500,0,0,0.000,3,4,0.750,2,5,7,1,1,2,0,2,11,-4.000
Andray Blatche,C,33:39,8,12,0.667,0,0,0.000,4,7,0.571,4,4,8,0,1,0,1,1,20,1.000
Joe Johnson,G,34:28,5,14,0.357,2,9,0.222,0,2,0.000,0,1,1,3,0,0,4,3,12,-7.000
Deron Williams,G,39:11,3,11,0.273,1,4,0.250,3,5,0.600,0,1,1,12,2,0,4,2,10,-11.000
Keith Bogans,,14:12,0,1,0.000,0,1,0.000,0,0,0.000,0,1,1,2,0,0,2,2,0,-2.000
Jerry Stackhouse,,23:59,5,11,0.455,0,4,0.000,1,1,1.000,1,2,3,0,1,1,2,1,11,-15.000
Reggie Evans,,14:11,1,1,1.000,0,0,0.000,0,0,0.000,1,4,5,0,0,1,1,3,2,-4.000
CJ Watson,,15:21,2,5,0.400,2,4,0.500,4,4,1.000,0,3,3,0,0,0,0,3,10,-9.000
Josh Childress,,1:37,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-3.000
Tyshawn Taylor,,1:25,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-1.000
Mirza Teletovic,,1:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
MIA
LeBron James,F,36:57,8,15,0.533,1,2,0.500,4,6,0.667,1,8,9,6,1,0,2,3,21,14.000
Rashard Lewis,F,14:07,1,4,0.250,0,3,0.000,0,0,0.000,0,1,1,0,0,0,0,1,2,-7.000
Chris Bosh,C,30:09,2,7,0.286,0,0,0.000,4,4,1.000,0,2,2,1,0,3,3,2,8,-5.000
Dwyane Wade,G,34:13,14,20,0.700,1,3,0.333,5,6,0.833,1,0,1,7,1,0,0,1,34,12.000
Mario Chalmers,G,17:55,3,8,0.375,1,4,0.250,0,0,0.000,1,5,6,1,3,0,3,2,7,-2.000
Ray Allen,,26:54,5,7,0.714,2,3,0.667,1,1,1.000,0,4,4,2,1,0,1,4,13,20.000
Udonis Haslem,,21:46,0,2,0.000,0,0,0.000,0,0,0.000,3,4,7,1,1,0,1,6,0,17.000
Mike Miller,,20:02,1,3,0.333,1,3,0.333,0,0,0.000,1,2,3,1,2,0,0,0,3,3.000
Norris Cole,,29:53,5,10,0.500,1,1,1.000,1,2,0.500,1,1,2,1,3,0,0,4,12,13.000
Joel Anthony,,5:04,1,1,1.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,2,2,0.000
Dexter Pittman,,1:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
James Jones,,1:00,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
Terrel Harris,,1:00,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
