12-18,SAC-PHX,90-101,Team,
22-16,32-27,14-31,22-27,
SAC
John Salmons,F,30:30,2,7,0.286,0,0,0.000,2,4,0.500,0,6,6,2,1,0,3,1,6,-17.000
Jason Thompson,F,27:54,4,10,0.400,0,0,0.000,0,0,0.000,2,4,6,2,0,0,1,4,8,-8.000
DeMarcus Cousins,C,25:44,1,10,0.100,0,0,0.000,7,8,0.875,4,6,10,0,1,0,3,4,9,-14.000
Francisco Garcia,G,19:26,2,6,0.333,0,2,0.000,2,3,0.667,0,2,2,0,1,0,1,2,6,-8.000
Aaron Brooks,G,29:30,6,11,0.545,0,3,0.000,0,0,0.000,0,3,3,3,0,1,1,2,12,-20.000
Charles Hayes,,23:56,1,4,0.250,0,0,0.000,2,2,1.000,1,5,6,3,0,1,1,1,4,1.000
James Johnson,,21:23,5,6,0.833,0,0,0.000,1,2,0.500,2,1,3,1,2,3,1,0,11,3.000
Jimmer Fredette,,22:21,7,13,0.538,3,5,0.600,5,5,1.000,3,0,3,1,0,0,1,1,22,5.000
Isaiah Thomas,,23:14,3,10,0.300,0,3,0.000,0,0,0.000,1,2,3,3,0,0,1,1,6,6.000
Thomas Robinson,,16:02,3,6,0.500,0,0,0.000,0,0,0.000,5,4,9,0,0,0,3,1,6,-3.000
PHX
Jared Dudley,F,36:54,5,11,0.455,4,8,0.500,6,7,0.857,1,2,3,1,1,0,1,1,20,18.000
Luis Scola,F,32:46,7,11,0.636,0,0,0.000,0,1,0.000,2,4,6,10,1,0,2,3,14,28.000
Marcin Gortat,C,32:47,6,12,0.500,0,0,0.000,2,3,0.667,1,12,13,0,1,6,1,0,14,24.000
Shannon Brown,G,28:49,10,13,0.769,2,4,0.500,0,0,0.000,0,5,5,1,1,0,1,4,22,14.000
Goran Dragic,G,33:09,3,11,0.273,0,4,0.000,2,2,1.000,0,2,2,7,1,0,1,1,8,24.000
Michael Beasley,,13:02,3,8,0.375,1,3,0.333,0,0,0.000,0,3,3,2,0,1,1,2,7,-8.000
Markieff Morris,,14:57,0,2,0.000,0,1,0.000,0,0,0.000,1,0,1,2,0,0,0,2,0,-17.000
PJ Tucker,,14:22,3,4,0.750,0,0,0.000,0,0,0.000,0,1,1,1,0,1,0,2,6,-10.000
Sebastian Telfair,,18:07,1,5,0.200,1,2,0.500,0,0,0.000,0,0,0,4,0,0,0,2,3,-5.000
Diante Garrett,,0:23,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
