01-01,ATL-BOS,92-91,Team,
20-23,19-21,23-23,30-24,
ATL
Mike Scott,F,27:58,4,12,0.333,0,3,0.000,0,0,0.000,0,7,7,1,0,1,0,1,8,-9.000
Paul Millsap,F,39:11,12,19,0.632,0,1,0.000,10,14,0.714,5,10,15,2,2,2,4,2,34,18.000
Elton Brand,C,12:10,1,2,0.500,0,0,0.000,2,2,1.000,0,1,1,0,1,0,1,1,4,-7.000
Kyle Korver,G,38:56,5,11,0.455,1,6,0.167,3,3,1.000,0,3,3,5,1,1,0,3,14,21.000
Jeff Teague,G,33:17,6,17,0.353,0,3,0.000,4,4,1.000,1,5,6,6,0,0,1,1,16,20.000
Pero Antic,,22:30,2,5,0.400,1,4,0.250,0,0,0.000,1,4,5,0,0,0,0,3,5,6.000
Lou Williams,,15:47,0,8,0.000,0,4,0.000,0,0,0.000,1,0,1,1,1,0,1,0,0,-21.000
Shelvin Mack,,23:20,1,9,0.111,1,4,0.250,2,2,1.000,0,5,5,5,0,0,2,2,5,-16.000
Dennis Schroder,,6:01,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,1,0,2,0,0,-12.000
Gustavo Ayon,,6:52,0,4,0.000,0,0,0.000,0,0,0.000,7,0,7,1,0,0,0,0,0,-10.000
Cartier Martin,,13:58,2,4,0.500,2,4,0.500,0,0,0.000,0,1,1,0,1,0,3,2,6,15.000
BOS
Jeff Green,F,21:13,4,10,0.400,0,2,0.000,0,0,0.000,0,5,5,1,2,0,3,1,8,-14.000
Brandon Bass,F,23:37,2,6,0.333,0,0,0.000,5,6,0.833,0,2,2,0,0,1,3,3,9,-17.000
Jared Sullinger,C,19:51,1,6,0.167,0,0,0.000,0,0,0.000,2,8,10,3,0,1,0,3,2,-16.000
Avery Bradley,G,31:22,2,10,0.200,0,3,0.000,4,4,1.000,1,4,5,2,0,1,1,1,8,-17.000
Jordan Crawford,G,32:54,3,15,0.200,1,7,0.143,1,1,1.000,3,3,6,5,0,0,3,2,8,-16.000
Kris Humphries,,28:09,7,13,0.538,0,0,0.000,4,4,1.000,0,10,10,1,0,0,0,4,18,15.000
Courtney Lee,,23:00,5,7,0.714,1,1,1.000,0,0,0.000,1,2,3,2,1,2,0,0,11,10.000
Gerald Wallace,,22:14,3,5,0.600,0,1,0.000,0,0,0.000,0,2,2,4,1,0,3,3,6,19.000
Kelly Olynyk,,24:23,8,11,0.727,3,5,0.600,2,2,1.000,1,3,4,5,1,2,1,2,21,16.000
Phil Pressey,,13:17,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,5,1,0,1,3,0,15.000
