01-19,GSW-NOP,97-87,Team,
24-29,28-25,26-18,19-15,
GSW
Andre Iguodala,F,35:50,3,7,0.429,0,1,0.000,2,2,1.000,0,3,3,3,1,2,2,1,8,18.000
David Lee,F,34:46,9,19,0.474,0,0,0.000,4,4,1.000,2,6,8,1,0,2,0,3,22,17.000
Andrew Bogut,C,33:44,5,5,1.000,0,0,0.000,0,0,0.000,5,10,15,2,0,5,2,5,10,12.000
Klay Thompson,G,36:38,3,14,0.214,2,7,0.286,0,0,0.000,0,2,2,1,2,0,1,1,8,14.000
Stephen Curry,G,37:49,10,22,0.455,2,9,0.222,6,6,1.000,1,5,6,8,4,0,0,2,28,15.000
Harrison Barnes,,17:31,0,4,0.000,0,1,0.000,0,0,0.000,0,2,2,1,0,0,1,3,0,-7.000
Jordan Crawford,,13:29,4,6,0.667,2,3,0.667,0,0,0.000,2,0,2,1,0,0,2,0,10,-9.000
Draymond Green,,15:44,1,1,1.000,0,0,0.000,2,4,0.500,0,3,3,0,0,1,0,3,4,-2.000
Marreese Speights,,11:01,2,5,0.400,0,0,0.000,3,3,1.000,0,2,2,0,0,1,0,2,7,-9.000
Kent Bazemore,,3:12,0,1,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,1.000
MarShon Brooks,,0:16,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
NOP
Anthony Davis,F,43:01,11,17,0.647,0,0,0.000,9,12,0.750,4,13,17,1,0,1,4,5,31,-9.000
Greg Stiemsma,C,12:21,1,4,0.250,0,0,0.000,0,0,0.000,0,2,2,0,0,1,0,1,2,3.000
Eric Gordon,G,32:38,3,17,0.176,0,6,0.000,2,2,1.000,2,3,5,6,2,0,3,3,8,-15.000
Brian Roberts,G,34:52,3,7,0.429,1,2,0.500,2,3,0.667,0,3,3,5,0,0,1,2,9,-6.000
Alexis Ajinca,,11:36,0,1,0.000,0,0,0.000,2,2,1.000,2,2,4,0,0,1,0,2,2,-4.000
Tyreke Evans,,30:45,6,14,0.429,0,0,0.000,2,2,1.000,1,3,4,2,1,0,4,1,14,-2.000
Austin Rivers,,12:30,0,4,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,1,1,0,5.000
Darius Miller,,15:03,2,4,0.500,1,3,0.333,1,1,1.000,1,0,1,1,1,0,0,0,6,0.000
Jeff Withey,,14:07,1,3,0.333,0,0,0.000,1,2,0.500,1,1,2,0,0,1,0,1,3,-9.000
