01-27,PHX-CLE,99-90,Team,
22-29,21-32,25-6,31-23,
PHX
PJ Tucker,F,37:23,5,14,0.357,1,4,0.250,2,2,1.000,3,7,10,6,2,0,0,3,13,5.000
Channing Frye,F,30:18,5,9,0.556,4,7,0.571,2,2,1.000,1,4,5,0,0,0,1,4,16,14.000
Miles Plumlee,C,17:53,1,3,0.333,0,0,0.000,1,2,0.500,0,10,10,0,0,0,0,4,3,10.000
Gerald Green,G,34:04,4,14,0.286,2,8,0.250,2,2,1.000,0,1,1,5,1,0,1,2,12,16.000
Goran Dragic,G,35:49,6,14,0.429,1,3,0.333,2,2,1.000,3,2,5,7,1,0,1,3,15,2.000
Markieff Morris,,33:01,8,16,0.500,1,2,0.500,10,12,0.833,5,10,15,2,0,1,2,3,27,-3.000
Alex Len,,6:26,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,2,0,-7.000
Leandro Barbosa,,15:32,2,6,0.333,0,2,0.000,1,2,0.500,0,1,1,1,1,0,3,0,5,6.000
Ish Smith,,16:10,0,2,0.000,0,0,0.000,1,2,0.500,0,0,0,1,1,1,3,0,1,1.000
Marcus Morris,,13:25,3,4,0.750,0,1,0.000,1,2,0.500,2,0,2,1,0,0,1,3,7,1.000
CLE
Luol Deng,F,40:32,7,18,0.389,0,2,0.000,4,6,0.667,3,7,10,5,1,1,3,4,18,-4.000
Tristan Thompson,F,38:50,6,9,0.667,0,0,0.000,5,7,0.714,4,9,13,0,0,0,2,3,17,-3.000
Anderson Varejao,C,34:13,1,9,0.111,0,0,0.000,0,3,0.000,4,6,10,4,1,0,1,1,2,0.000
CJ Miles,G,20:22,5,11,0.455,2,7,0.286,0,0,0.000,0,1,1,1,1,1,1,4,12,-10.000
Kyrie Irving,G,36:50,8,23,0.348,0,3,0.000,8,8,1.000,0,2,2,9,2,0,2,2,24,-1.000
Dion Waiters,,17:42,2,5,0.400,0,0,0.000,0,0,0.000,0,1,1,2,0,0,3,3,4,-12.000
Tyler Zeller,,13:02,1,1,1.000,0,0,0.000,0,0,0.000,2,1,3,0,0,0,1,3,2,-5.000
Jarrett Jack,,28:10,3,8,0.375,2,2,1.000,0,0,0.000,1,2,3,2,1,1,0,1,8,0.000
Earl Clark,,9:56,1,2,0.500,1,2,0.500,0,0,0.000,0,0,0,0,0,0,1,2,3,-10.000
Matthew Dellavedova,,0:25,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
