02-20,BOS-PHX,94-100,Team,
21-29,29-23,21-24,23-24,
BOS
Jeff Green,F,35:08,5,12,0.417,1,6,0.167,6,6,1.000,0,5,5,0,1,0,0,0,17,-11.000
Brandon Bass,F,32:46,7,12,0.583,0,0,0.000,4,4,1.000,1,7,8,0,1,2,3,2,18,4.000
Jared Sullinger,C,26:22,5,13,0.385,1,3,0.333,0,1,0.000,4,4,8,1,0,2,1,4,11,5.000
Gerald Wallace,G,34:21,3,5,0.600,0,1,0.000,3,4,0.750,1,2,3,2,4,1,2,4,9,8.000
Rajon Rondo,G,35:33,7,22,0.318,0,2,0.000,4,5,0.800,2,5,7,10,0,0,3,2,18,16.000
Phil Pressey,,7:04,0,2,0.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,1,0,0,-7.000
Kelly Olynyk,,24:22,3,10,0.300,1,3,0.333,0,0,0.000,3,3,6,3,1,1,1,5,7,0.000
Jerryd Bayless,,15:30,0,2,0.000,0,0,0.000,2,2,1.000,0,4,4,2,0,0,1,3,2,-15.000
Kris Humphries,,11:39,2,6,0.333,0,0,0.000,1,4,0.250,2,1,3,0,0,0,2,3,5,-20.000
Chris Johnson,,17:15,2,3,0.667,2,2,1.000,1,2,0.500,0,1,1,0,0,0,0,1,7,-10.000
PHX
PJ Tucker,F,36:18,4,11,0.364,0,2,0.000,2,4,0.500,3,8,11,6,3,0,0,6,10,12.000
Channing Frye,F,34:41,4,7,0.571,4,6,0.667,3,4,0.750,0,7,7,2,0,1,2,3,15,-2.000
Miles Plumlee,C,19:50,2,6,0.333,0,0,0.000,0,0,0.000,2,6,8,0,1,3,4,4,4,-10.000
Gerald Green,G,34:01,6,14,0.429,2,5,0.400,3,4,0.750,1,4,5,1,0,0,5,3,17,-3.000
Goran Dragic,G,32:55,6,13,0.462,2,5,0.400,3,6,0.500,2,2,4,6,0,2,3,1,17,-3.000
Markieff Morris,,29:29,7,12,0.583,0,2,0.000,4,4,1.000,0,4,4,1,0,0,1,2,18,12.000
Ish Smith,,17:05,1,6,0.167,0,0,0.000,0,0,0.000,2,1,3,5,1,0,1,1,2,15.000
Alex Len,,6:47,1,2,0.500,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,6.000
Leandro Barbosa,,7:23,1,3,0.333,1,3,0.333,1,2,0.500,0,1,1,1,0,0,1,1,4,-3.000
Marcus Morris,,21:31,4,8,0.500,2,5,0.400,1,2,0.500,0,2,2,1,0,0,1,2,11,6.000
