02-27,BKN-POR,80-124,Team,
20-29,14-29,25-24,21-42,
BKN
Joe Johnson,F,26:26,4,11,0.364,1,4,0.250,2,2,1.000,0,1,1,1,0,0,2,0,11,-25.000
Paul Pierce,F,24:29,3,8,0.375,0,3,0.000,0,0,0.000,1,3,4,1,1,0,1,2,6,-20.000
Kevin Garnett,C,13:53,2,3,0.667,0,0,0.000,2,2,1.000,0,7,7,0,0,0,1,2,6,-10.000
Shaun Livingston,G,12:18,0,4,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,1,3,0,-9.000
Deron Williams,G,24:29,4,10,0.400,0,2,0.000,4,5,0.800,0,0,0,3,3,1,0,2,12,-20.000
Andrei Kirilenko,,11:59,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,1,0,0,0,2,-13.000
Andray Blatche,,13:45,1,6,0.167,0,1,0.000,1,2,0.500,0,2,2,1,0,0,0,2,3,-15.000
Alan Anderson,,23:31,2,6,0.333,0,2,0.000,0,0,0.000,1,1,2,3,1,0,2,0,4,-24.000
Mirza Teletovic,,23:31,3,6,0.500,2,3,0.667,0,0,0.000,2,4,6,2,1,0,2,3,8,-24.000
Marcus Thornton,,27:00,4,11,0.364,1,6,0.167,0,0,0.000,1,1,2,1,0,0,2,1,9,-26.000
Mason Plumlee,,13:20,5,8,0.625,0,0,0.000,0,2,0.000,2,0,2,0,0,0,0,1,10,-9.000
Marquis Teague,,18:17,3,6,0.500,0,1,0.000,3,4,0.750,0,2,2,4,1,0,1,2,9,-15.000
Jason Collins,,7:02,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-10.000
POR
Nicolas Batum,F,29:00,6,12,0.500,1,4,0.250,6,6,1.000,0,6,6,6,2,0,1,2,19,16.000
Dorell Wright,F,24:54,1,4,0.250,1,4,0.250,1,2,0.500,1,5,6,5,0,1,0,2,4,11.000
Robin Lopez,C,26:18,4,6,0.667,0,0,0.000,3,4,0.750,3,5,8,1,0,2,1,0,11,14.000
Wesley Matthews,G,27:40,3,7,0.429,1,2,0.500,1,1,1.000,1,3,4,3,1,2,2,0,8,15.000
Damian Lillard,G,28:54,6,11,0.545,2,3,0.667,0,0,0.000,0,1,1,0,1,0,2,2,14,16.000
Mo Williams,,26:59,8,13,0.615,3,5,0.600,2,2,1.000,2,4,6,7,1,0,2,1,21,34.000
Victor Claver,,21:42,5,7,0.714,1,3,0.333,2,2,1.000,1,4,5,1,0,0,1,4,13,30.000
CJ McCollum,,12:19,4,8,0.500,3,4,0.750,0,0,0.000,1,2,3,0,0,0,1,1,11,22.000
Will Barton,,28:25,8,13,0.615,0,2,0.000,4,4,1.000,3,8,11,4,0,1,1,2,20,39.000
Allen Crabbe,,7:09,0,4,0.000,0,3,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,13.000
Earl Watson,,6:40,1,1,1.000,1,1,1.000,0,0,0.000,1,1,2,2,1,0,0,1,3,10.000
