02-27,DET-SAS,110-120,Team,
26-28,27-29,28-33,29-30,
DET
Josh Smith,F,42:31,10,19,0.526,2,3,0.667,2,4,0.500,0,6,6,5,3,1,3,5,24,-18.000
Greg Monroe,F,31:16,3,11,0.273,0,0,0.000,6,6,1.000,2,3,5,1,3,1,0,1,12,-10.000
Andre Drummond,C,40:04,7,12,0.583,0,0,0.000,2,2,1.000,6,11,17,2,2,2,0,2,16,-11.000
Kyle Singler,G,34:23,7,8,0.875,1,1,1.000,0,0,0.000,1,4,5,1,1,0,1,3,15,-8.000
Brandon Jennings,G,13:23,0,2,0.000,0,1,0.000,0,0,0.000,0,1,1,1,0,0,2,2,0,-13.000
Rodney Stuckey,,30:49,6,13,0.462,0,1,0.000,5,5,1.000,0,1,1,4,0,0,3,1,17,-3.000
Will Bynum,,30:37,9,18,0.500,0,0,0.000,0,0,0.000,0,1,1,9,0,0,4,3,18,3.000
Jonas Jerebko,,3:14,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-3.000
Peyton Siva,,0:46,1,1,1.000,1,1,1.000,0,0,0.000,0,0,0,0,0,0,0,0,3,3.000
Gigi Datome,,0:46,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,1,0,0,0,0,0,3.000
Tony Mitchell,,0:46,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,3.000
SAS
Kawhi Leonard,F,28:57,5,9,0.556,1,2,0.500,4,4,1.000,1,5,6,4,2,2,2,1,15,23.000
Tim Duncan,F,26:53,5,12,0.417,0,0,0.000,3,3,1.000,2,7,9,1,2,1,2,3,13,17.000
Tiago Splitter,C,30:06,6,11,0.545,0,0,0.000,1,2,0.500,3,4,7,6,0,1,1,1,13,23.000
Danny Green,G,21:56,3,7,0.429,2,4,0.500,0,0,0.000,0,2,2,2,0,1,2,4,8,-3.000
Cory Joseph,G,13:07,2,2,1.000,0,0,0.000,6,6,1.000,0,1,1,2,1,0,2,0,10,-4.000
Manu Ginobili,,27:50,6,11,0.545,1,3,0.333,3,3,1.000,0,1,1,9,3,1,4,3,16,19.000
Boris Diaw,,26:22,5,10,0.500,0,2,0.000,2,2,1.000,1,1,2,4,1,0,1,1,12,4.000
Jeff Ayres,,12:00,1,1,1.000,0,0,0.000,0,0,0.000,2,2,4,0,1,0,0,1,2,-10.000
Marco Belinelli,,27:07,6,8,0.750,4,4,1.000,4,4,1.000,0,1,1,4,0,1,2,2,20,4.000
Patty Mills,,20:54,5,10,0.500,1,4,0.250,0,0,0.000,0,3,3,2,0,0,1,0,11,-8.000
Matt Bonner,,1:36,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-5.000
Aron Baynes,,1:36,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-5.000
Austin Daye,,1:36,0,1,0.000,0,0,0.000,0,1,0.000,0,0,0,0,0,0,0,0,0,-5.000
