03-09,UTA-PHI,104-92,Team,
24-22,26-30,25-18,29-22,
UTA
Richard Jefferson,F,17:59,3,7,0.429,2,3,0.667,0,0,0.000,0,1,1,0,1,0,1,3,8,-2.000
Marvin Williams,F,23:52,3,7,0.429,1,3,0.333,2,2,1.000,0,4,4,0,0,1,2,3,9,4.000
Derrick Favors,C,34:48,6,9,0.667,0,0,0.000,3,4,0.750,4,10,14,1,1,3,3,3,15,7.000
Gordon Hayward,G,43:51,7,15,0.467,1,3,0.333,7,10,0.700,1,1,2,8,3,0,2,3,22,14.000
Trey Burke,G,23:48,2,9,0.222,0,4,0.000,3,3,1.000,1,3,4,8,0,0,1,5,7,12.000
Alec Burks,,33:45,6,10,0.600,3,5,0.600,4,7,0.571,0,1,1,2,2,0,3,1,19,11.000
Jeremy Evans,,8:55,0,2,0.000,0,0,0.000,0,0,0.000,1,1,2,0,0,0,0,0,0,2.000
Enes Kanter,,28:25,6,14,0.429,0,1,0.000,1,2,0.500,6,4,10,3,0,0,3,4,13,11.000
Diante Garrett,,24:37,4,7,0.571,3,4,0.750,0,0,0.000,0,4,4,3,2,0,4,2,11,1.000
PHI
Hollis Thompson,F,16:33,1,2,0.500,0,1,0.000,2,2,1.000,1,2,3,1,1,0,2,0,4,7.000
Thaddeus Young,F,38:43,8,16,0.500,1,6,0.167,1,2,0.500,0,0,0,2,1,2,0,2,18,-3.000
Henry Sims,C,25:50,2,8,0.250,0,0,0.000,1,2,0.500,1,3,4,2,1,1,1,4,5,-12.000
James Anderson,G,32:50,5,11,0.455,2,6,0.333,4,4,1.000,2,4,6,2,0,1,3,4,16,-2.000
Jarvis Varnado,,14:14,1,2,0.500,0,0,0.000,0,0,0.000,1,4,5,1,0,0,0,5,2,0.000
Tony Wroten,,31:27,12,15,0.800,0,2,0.000,6,8,0.750,0,1,1,1,4,0,3,0,30,-19.000
Elliot Williams,,15:35,1,2,0.500,0,0,0.000,0,0,0.000,0,2,2,2,0,0,0,1,2,-12.000
Byron Mullens,,9:54,2,4,0.500,1,2,0.500,1,2,0.500,0,2,2,0,0,0,0,0,6,-10.000
Eric Maynor,,13:16,1,2,0.500,1,2,0.500,0,0,0.000,0,2,2,2,1,0,3,0,3,-4.000
Arnett Moultrie,,7:19,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,2,2,2,1.000
