03-11,WAS-MIA,90-99,Team,
23-31,22-22,28-20,17-26,
WAS
Trevor Ariza,F,30:06,2,11,0.182,1,7,0.143,1,1,1.000,2,3,5,1,2,0,5,4,6,-8.000
Trevor Booker,F,21:12,3,8,0.375,0,0,0.000,0,0,0.000,2,2,4,0,0,1,0,1,6,-10.000
Marcin Gortat,C,32:32,7,15,0.467,0,0,0.000,0,1,0.000,9,9,18,4,0,1,1,0,14,-1.000
Bradley Beal,G,36:23,7,18,0.389,3,7,0.429,1,1,1.000,3,2,5,2,0,0,3,2,18,-12.000
John Wall,G,33:55,2,8,0.250,2,4,0.500,1,2,0.500,1,5,6,8,1,0,7,3,7,-19.000
Martell Webster,,29:44,5,9,0.556,4,8,0.500,3,4,0.750,0,1,1,0,0,1,0,2,17,5.000
Al Harrington,,19:24,1,5,0.200,1,3,0.333,0,0,0.000,2,0,2,3,0,0,1,1,3,8.000
Drew Gooden,,17:13,7,12,0.583,1,2,0.500,0,0,0.000,2,1,3,0,0,0,0,0,15,-8.000
Otto Porter,,3:23,1,1,1.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,2,-2.000
Andre Miller,,14:43,1,2,0.500,0,0,0.000,0,0,0.000,0,5,5,5,0,0,1,1,2,-1.000
Garrett Temple,,1:26,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,1,0,0,0,0,0,3.000
MIA
LeBron James,F,36:45,10,15,0.667,3,4,0.750,0,0,0.000,2,5,7,8,3,0,3,3,23,16.000
Shane Battier,F,15:51,2,3,0.667,2,3,0.667,0,0,0.000,1,0,1,0,0,2,0,0,6,-2.000
Chris Bosh,C,34:10,10,14,0.714,2,3,0.667,0,0,0.000,1,6,7,1,2,1,0,2,22,10.000
Dwyane Wade,G,33:27,8,17,0.471,0,0,0.000,6,6,1.000,2,3,5,6,1,1,3,1,22,7.000
Mario Chalmers,G,29:43,0,7,0.000,0,3,0.000,0,0,0.000,0,1,1,6,1,1,1,1,0,13.000
Ray Allen,,28:31,5,9,0.556,3,6,0.500,0,0,0.000,1,2,3,2,0,0,0,1,13,3.000
Chris Andersen,,18:22,3,5,0.600,0,0,0.000,3,3,1.000,0,3,3,0,0,2,2,1,9,-7.000
Norris Cole,,23:18,0,4,0.000,0,2,0.000,0,0,0.000,2,1,3,2,0,0,1,1,0,0.000
Michael Beasley,,14:52,2,6,0.333,0,0,0.000,0,0,0.000,0,1,1,1,1,1,0,1,4,1.000
Udonis Haslem,,5:01,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,4.000
