03-30,SAC-DAL,100-103,Team,
19-26,23-28,28-18,30-31,
SAC
Rudy Gay,F,42:39,11,19,0.579,0,1,0.000,8,10,0.800,3,4,7,0,0,0,7,2,30,-1.000
Reggie Evans,F,29:07,3,5,0.600,0,0,0.000,0,1,0.000,4,14,18,1,2,0,2,5,6,-1.000
DeMarcus Cousins,C,27:31,8,15,0.533,0,0,0.000,1,3,0.333,2,5,7,5,2,0,3,5,17,-14.000
Ben McLemore,G,33:24,4,9,0.444,1,2,0.500,1,1,1.000,1,1,2,2,0,0,2,5,10,-2.000
Ray McCallum,G,48:00,7,17,0.412,2,4,0.500,0,0,0.000,1,3,4,8,2,1,2,2,16,-3.000
Derrick Williams,,10:04,1,2,0.500,0,1,0.000,2,2,1.000,0,2,2,0,0,0,0,1,4,1.000
Travis Outlaw,,20:31,3,7,0.429,0,2,0.000,0,0,0.000,1,0,1,1,1,0,1,4,6,-1.000
Jason Thompson,,28:01,5,7,0.714,0,0,0.000,1,2,0.500,2,3,5,0,3,1,1,4,11,6.000
Quincy Acy,,0:43,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,1,0,0.000
DAL
Shawn Marion,F,32:27,5,7,0.714,1,1,1.000,3,3,1.000,1,4,5,2,1,0,0,3,14,3.000
Dirk Nowitzki,F,30:14,5,10,0.500,0,2,0.000,9,10,0.900,0,7,7,7,0,1,2,4,19,12.000
Samuel Dalembert,C,23:54,7,8,0.875,0,0,0.000,1,2,0.500,2,4,6,0,2,3,3,3,15,11.000
Monta Ellis,G,37:42,5,12,0.417,1,3,0.333,6,8,0.750,0,3,3,6,2,0,3,2,17,2.000
Jose Calderon,G,37:33,4,11,0.364,3,8,0.375,0,0,0.000,0,0,0,7,0,0,1,1,11,10.000
Vince Carter,,25:20,4,10,0.400,2,6,0.333,0,0,0.000,0,2,2,3,1,0,0,3,10,-5.000
DeJuan Blair,,4:36,0,2,0.000,0,0,0.000,2,2,1.000,0,1,1,0,0,0,0,1,2,-5.000
Devin Harris,,16:23,0,4,0.000,0,1,0.000,3,6,0.500,0,1,1,2,0,0,1,1,3,-6.000
Jae Crowder,,12:26,2,4,0.500,0,2,0.000,2,2,1.000,1,3,4,0,0,0,2,0,6,-2.000
Brandan Wright,,19:25,2,2,1.000,0,0,0.000,2,2,1.000,2,4,6,1,0,3,0,0,6,-5.000
