04-02,POR-LAL,124-112,Team,
29-27,34-34,28-22,33-29,
POR
Nicolas Batum,F,35:34,6,13,0.462,4,5,0.800,0,0,0.000,2,3,5,7,2,0,1,2,16,18.000
LaMarcus Aldridge,F,32:32,12,20,0.600,0,0,0.000,7,8,0.875,1,14,15,6,1,2,2,2,31,27.000
Robin Lopez,C,34:03,4,5,0.800,0,0,0.000,2,2,1.000,3,7,10,1,0,2,0,2,10,21.000
Wesley Matthews,G,32:32,4,12,0.333,2,7,0.286,0,0,0.000,0,4,4,6,0,1,1,1,10,17.000
Damian Lillard,G,35:31,10,22,0.455,5,10,0.500,9,9,1.000,0,2,2,8,3,0,2,3,34,24.000
Thomas Robinson,,17:57,3,7,0.429,0,0,0.000,1,2,0.500,3,3,6,0,3,0,1,2,7,-13.000
Mo Williams,,24:50,3,11,0.273,2,6,0.333,0,0,0.000,0,1,1,3,1,0,0,4,8,2.000
Will Barton,,11:16,4,7,0.571,0,0,0.000,0,0,0.000,2,3,5,1,0,0,2,1,8,-13.000
Dorell Wright,,9:19,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,-5.000
Earl Watson,,2:09,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,1,0,0,-6.000
CJ McCollum,,2:09,0,2,0.000,0,1,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-6.000
Meyers Leonard,,1:32,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,-2.000
Victor Claver,,0:37,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-4.000
LAL
Kent Bazemore,F,30:21,6,10,0.600,2,4,0.500,3,4,0.750,0,4,4,1,2,0,1,2,17,-20.000
Pau Gasol,F,28:20,4,9,0.444,0,0,0.000,1,1,1.000,1,3,4,7,1,2,3,4,9,-18.000
Chris Kaman,C,29:04,6,16,0.375,0,0,0.000,0,0,0.000,1,5,6,2,1,3,2,2,12,-19.000
Jodie Meeks,G,26:37,2,7,0.286,0,2,0.000,0,0,0.000,0,2,2,2,0,0,1,0,4,-20.000
Kendall Marshall,G,19:15,2,4,0.500,2,3,0.667,2,2,1.000,0,6,6,5,1,0,1,3,8,-14.000
Steve Nash,,21:48,2,5,0.400,0,0,0.000,6,6,1.000,0,4,4,10,0,1,1,1,10,8.000
Xavier Henry,,13:08,0,4,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,7.000
Robert Sacre,,18:28,1,3,0.333,0,0,0.000,1,2,0.500,1,5,6,1,0,2,0,0,3,5.000
Ryan Kelly,,20:08,3,8,0.375,1,3,0.333,2,2,1.000,4,5,9,2,0,2,1,3,9,8.000
Nick Young,,32:51,15,26,0.577,6,13,0.462,4,5,0.800,2,2,4,1,2,0,1,0,40,3.000
