04-03,HOU-TOR,103-107,Team,
25-23,25-32,30-35,23-17,
HOU
Chandler Parsons,F,35:38,8,16,0.500,1,3,0.333,3,3,1.000,1,6,7,3,2,0,4,4,20,-10.000
Terrence Jones,F,9:48,0,4,0.000,0,0,0.000,0,0,0.000,1,2,3,0,0,0,1,2,0,-7.000
Omer Asik,C,31:53,3,5,0.600,0,0,0.000,3,6,0.500,2,13,15,0,1,0,3,3,9,-1.000
James Harden,G,39:37,7,17,0.412,2,6,0.333,10,12,0.833,0,6,6,4,2,0,1,4,26,-14.000
Jeremy Lin,G,38:52,6,18,0.333,3,7,0.429,1,2,0.500,1,0,1,7,2,1,2,4,16,15.000
Donatas Motiejunas,,22:41,6,11,0.545,0,3,0.000,1,1,1.000,3,2,5,1,0,0,3,5,13,2.000
Isaiah Canaan,,17:38,2,8,0.250,2,5,0.400,1,2,0.500,1,3,4,1,1,0,0,2,7,-2.000
Francisco Garcia,,17:25,2,3,0.667,0,0,0.000,0,0,0.000,0,1,1,2,0,0,0,3,4,-3.000
Omri Casspi,,23:17,2,4,0.500,1,2,0.500,3,4,0.750,1,4,5,1,0,0,0,2,8,8.000
Jordan Hamilton,,3:11,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,1,0,-8.000
TOR
Terrence Ross,F,34:39,6,12,0.500,1,5,0.200,1,2,0.500,0,9,9,0,0,0,4,3,14,8.000
Amir Johnson,F,2:58,0,0,0.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,0,0,0,-4.000
Jonas Valanciunas,C,29:59,4,7,0.571,0,0,0.000,7,9,0.778,1,5,6,1,1,1,1,3,15,12.000
DeMar DeRozan,G,40:07,10,19,0.526,1,3,0.333,8,10,0.800,0,6,6,4,2,0,2,5,29,0.000
Greivis Vasquez,G,39:54,4,12,0.333,4,7,0.571,3,4,0.750,0,4,4,8,1,0,0,4,15,6.000
Patrick Patterson,,25:40,3,7,0.429,1,4,0.250,1,3,0.333,0,2,2,1,1,1,1,1,8,2.000
John Salmons,,22:05,3,8,0.375,2,3,0.667,4,4,1.000,0,3,3,2,0,0,1,0,12,-6.000
Nando De Colo,,12:35,1,4,0.250,0,0,0.000,2,2,1.000,1,0,1,2,0,0,1,2,4,2.000
Tyler Hansbrough,,17:48,2,2,1.000,0,0,0.000,3,5,0.600,1,2,3,2,1,1,2,3,7,-6.000
Steve Novak,,14:15,1,4,0.250,1,3,0.333,0,0,0.000,0,0,0,0,1,0,1,4,3,6.000
