04-12,PHX-SAS,104-112,Team,
37-24,25-25,19-37,23-26,
PHX
PJ Tucker,F,36:51,1,8,0.125,1,4,0.250,0,0,0.000,3,2,5,2,1,0,1,2,3,-5.000
Channing Frye,F,33:32,5,9,0.556,1,4,0.250,2,2,1.000,1,5,6,1,0,0,1,1,13,2.000
Miles Plumlee,C,24:41,3,6,0.500,0,0,0.000,0,0,0.000,1,8,9,0,0,0,2,2,6,-1.000
Gerald Green,G,35:41,9,19,0.474,4,10,0.400,5,5,1.000,0,3,3,3,2,1,1,3,27,-1.000
Eric Bledsoe,G,37:17,11,16,0.688,2,4,0.500,6,8,0.750,2,9,11,9,3,0,7,2,30,1.000
Ish Smith,,19:05,1,3,0.333,0,0,0.000,0,0,0.000,1,2,3,2,0,0,2,1,2,-9.000
Markieff Morris,,27:50,8,14,0.571,0,0,0.000,4,4,1.000,1,6,7,0,0,0,2,3,20,-8.000
Marcus Morris,,21:32,1,7,0.143,1,4,0.250,0,0,0.000,1,2,3,1,1,0,2,3,3,-13.000
Archie Goodwin,,1:26,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,-8.000
Alex Len,,2:05,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,0,0,0,2.000
SAS
Kawhi Leonard,F,33:54,7,14,0.500,2,4,0.500,2,3,0.667,1,4,5,4,3,0,0,1,18,3.000
Austin Daye,F,13:59,1,7,0.143,0,3,0.000,0,0,0.000,1,0,1,1,2,1,1,4,2,-5.000
Tiago Splitter,C,16:04,2,5,0.400,0,1,0.000,1,1,1.000,2,5,7,2,0,1,1,1,5,-11.000
Danny Green,G,37:55,12,17,0.706,7,10,0.700,2,4,0.500,1,3,4,2,0,1,1,1,33,23.000
Tony Parker,G,24:25,9,18,0.500,0,0,0.000,0,0,0.000,0,1,1,3,1,0,0,0,18,-15.000
Marco Belinelli,,27:33,3,11,0.273,2,7,0.286,4,4,1.000,0,2,2,1,2,0,2,2,12,5.000
Boris Diaw,,34:01,4,12,0.333,1,1,1.000,2,2,1.000,1,7,8,6,2,0,0,0,11,13.000
Patty Mills,,27:41,3,8,0.375,1,4,0.250,2,2,1.000,0,4,4,4,0,0,0,3,9,17.000
Aron Baynes,,3:54,0,1,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,1,0,2.000
Jeff Ayres,,19:55,2,3,0.667,0,0,0.000,0,0,0.000,5,5,10,1,0,2,1,2,4,10.000
Cory Joseph,,0:35,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,1,0,0,-2.000
Damion James,,0:04,0,0,0.000,0,0,0.000,0,0,0.000,0,0,0,0,0,0,0,0,0,0.000
