04-13,PHI-CHA,105-111,Team,
24-26,35-30,19-31,27-24,
PHI
Thaddeus Young,F,37:46,8,22,0.364,0,5,0.000,0,1,0.000,0,4,4,1,0,0,1,5,16,-3.000
Hollis Thompson,F,27:11,1,4,0.250,1,3,0.333,0,0,0.000,1,4,5,2,0,1,0,5,3,-3.000
Henry Sims,C,25:42,5,8,0.625,0,0,0.000,5,7,0.714,3,3,6,0,0,0,0,2,15,-3.000
James Anderson,G,30:30,3,11,0.273,1,5,0.200,1,2,0.500,0,1,1,1,3,0,1,1,8,-3.000
Byron Mullens,,20:19,6,12,0.500,1,5,0.200,0,0,0.000,4,3,7,0,1,0,1,1,13,-1.000
Elliot Williams,,20:17,4,9,0.444,1,4,0.250,1,2,0.500,1,1,2,1,1,0,1,3,10,-5.000
Tony Wroten,,18:02,4,8,0.500,0,0,0.000,2,4,0.500,0,5,5,1,0,0,1,3,10,-1.000
Brandon Davies,,12:13,0,4,0.000,0,1,0.000,0,0,0.000,1,2,3,2,1,0,1,6,0,-5.000
Casper Ware,,11:25,3,4,0.750,1,2,0.500,0,0,0.000,0,0,0,2,1,0,0,0,7,-1.000
CHA
Josh McRoberts,F,26:37,1,4,0.250,1,3,0.333,1,2,0.500,0,3,3,4,1,0,3,3,4,-1.000
Al Jefferson,C,36:02,13,19,0.684,0,0,0.000,3,5,0.600,2,10,12,3,0,2,3,3,29,3.000
Gerald Henderson,G,28:33,5,8,0.625,0,1,0.000,4,7,0.571,1,3,4,3,0,2,2,1,14,-2.000
Luke Ridnour,G,30:43,4,8,0.500,2,4,0.500,2,4,0.500,0,2,2,8,0,1,1,3,12,1.000
Cody Zeller,,21:23,2,4,0.500,0,0,0.000,8,10,0.800,1,2,3,0,1,1,1,4,12,7.000
Gary Neal,,19:27,4,10,0.400,0,3,0.000,2,3,0.667,0,0,0,1,0,0,1,0,10,8.000
Jannero Pargo,,17:17,2,5,0.400,2,3,0.667,0,0,0.000,0,4,4,2,0,0,1,2,6,5.000
Bismack Biyombo,,11:58,0,0,0.000,0,0,0.000,2,4,0.500,1,0,1,1,0,1,0,1,2,3.000
