10-11,MIL-MIN,89-98,Preseason,
29-25,17-21,25-29,18-23,
MIL
Brandon Knight,,12,3,6,0.500,1,1,1.000,0,0,0.000,0,2,2,1,0,0,2,4,7,0
Caron Butler,,24,5,6,0.833,1,2,0.500,2,3,0.667,1,3,4,1,0,1,2,0,13,0
Gary Neal,,7,0,2,0.000,0,0,0.000,0,0,0.000,0,0,0,2,0,0,2,0,0,0
Giannis Antetokounmpo,,28,1,6,0.167,0,1,0.000,2,2,1.000,0,7,7,0,1,4,7,5,4,0
John Henson,,25,8,12,0.667,0,0,0.000,0,2,0.000,2,3,5,2,2,0,1,0,16,0
Khris Middleton,,16,5,8,0.625,2,3,0.667,0,0,0.000,0,1,1,2,2,0,0,2,12,0
Larry Sanders,,15,2,6,0.333,0,0,0.000,0,0,0.000,2,4,6,1,0,1,2,4,4,0
Luke Ridnour,,16,1,5,0.200,0,1,0.000,0,1,0.000,1,0,1,4,0,0,0,4,2,0
Miroslav Raduljica,,24,0,6,0.000,0,0,0.000,2,3,0.667,3,2,5,1,1,0,4,5,2,0
Nate Wolters,,20,3,5,0.600,1,2,0.500,3,3,1.000,0,2,2,2,0,0,0,2,10,0
O.J. Mayo,,21,3,8,0.375,1,3,0.333,0,0,0.000,0,6,6,4,0,0,1,3,7,0
Olek Czyz,,7,2,2,1.000,0,0,0.000,0,1,0.000,0,0,0,0,1,1,0,0,4,0
Stephen Graham,,23,3,4,0.750,0,0,0.000,2,2,1.000,1,1,2,0,0,0,2,4,8,0
MIN
A.J. Price,,21,4,10,0.400,1,3,0.333,1,1,1.000,0,1,1,3,2,0,3,1,10,0
Alexey Shved,,17,3,4,0.750,2,3,0.667,1,1,1.000,1,0,1,3,1,0,0,0,9,0
Corey Brewer,,20,3,9,0.333,2,4,0.500,1,2,0.500,0,2,2,0,2,0,0,2,9,0
Dante Cunningham,,15,1,6,0.167,0,0,0.000,0,0,0.000,1,5,6,0,0,0,0,1,2,0
Gorgui Dieng,,25,3,6,0.500,0,0,0.000,0,2,0.000,4,5,9,1,0,4,1,3,6,0
Jose Juan Barea,,16,3,6,0.500,1,1,1.000,0,0,0.000,0,4,4,4,1,0,4,1,7,0
Kevin Love,,11,1,4,0.250,0,1,0.000,0,0,0.000,1,2,3,1,0,0,0,0,2,0
Lorenzo Brown,,13,2,8,0.250,0,1,0.000,2,3,0.667,1,0,1,1,0,0,0,0,6,0
Nikola Pekovic,,23,3,6,0.500,0,0,0.000,4,6,0.667,2,0,2,0,0,0,1,2,10,0
Othyus Jeffers,,25,5,9,0.556,0,0,0.000,3,5,0.600,3,3,6,0,1,0,3,2,13,0
Ricky Rubio,,11,0,2,0.000,0,0,0.000,3,4,0.750,0,0,0,2,1,0,3,2,3,0
Robbie Hummel,,22,3,10,0.300,1,2,0.500,3,3,1.000,1,3,4,0,0,0,1,3,10,0
Shabazz Muhammad,,21,3,6,0.500,0,0,0.000,5,6,0.833,3,1,4,0,0,0,0,2,11,0
