10-12,CLE-ORL,110-105,Preseason,
26-37,23-25,36-24,25-19,
CLE
Anderson Varejao,,24,0,3,0.000,0,0,0.000,6,6,1.000,4,3,7,1,2,0,0,1,6,0
Anthony Bennett,,22,6,11,0.545,2,5,0.400,2,2,1.000,0,4,4,1,1,1,2,5,16,0
CJ Miles,,18,3,8,0.375,2,4,0.500,1,2,0.500,0,1,1,1,0,0,1,3,9,0
Carrick Felix,,15,0,3,0.000,0,1,0.000,2,2,1.000,1,1,2,1,1,0,1,1,2,0
Dion Waiters,,25,8,13,0.615,1,1,1.000,4,5,0.800,2,0,2,3,2,0,1,4,21,0
Earl Clark,,22,1,7,0.143,0,3,0.000,2,2,1.000,0,3,3,0,1,0,1,1,4,0
Henry Sims,,16,2,2,1.000,0,0,0.000,0,2,0.000,0,1,1,0,2,0,2,1,4,0
Jarrett Jack,,18,2,7,0.286,0,1,0.000,0,0,0.000,0,4,4,3,1,0,2,2,4,0
Kenny Kadji,,9,0,3,0.000,0,0,0.000,4,4,1.000,0,1,1,0,0,1,0,3,4,0
Kyrie Irving,,25,5,16,0.313,1,1,1.000,6,6,1.000,0,1,1,5,1,0,1,2,17,0
Matthew Dellavedova,,6,0,0,0.000,0,0,0.000,2,2,1.000,0,2,2,0,1,0,0,0,2,0
Sergey Karasev,,14,2,3,0.667,1,2,0.500,2,3,0.667,0,0,0,3,2,1,1,0,7,0
Tristan Thompson,,26,4,8,0.500,0,0,0.000,6,10,0.600,6,2,8,2,1,0,0,2,14,0
ORL
Andrew Nicholson,,26,2,7,0.286,1,3,0.333,0,0,0.000,1,2,3,2,0,1,1,5,5,0
Arron Afflalo,,18,5,6,0.833,1,2,0.500,3,3,1.000,0,2,2,2,0,0,2,0,14,0
Jameer Nelson,,18,3,5,0.600,2,4,0.500,0,0,0.000,0,2,2,7,0,0,1,2,8,0
Jason Maxiell,,17,3,3,1.000,0,0,0.000,1,2,0.500,1,3,4,2,1,1,0,5,7,0
Manny Harris,,3,0,0,0.000,0,0,0.000,0,0,0.000,0,1,1,0,0,0,2,0,0,0
Maurice Harkless,,27,2,6,0.333,0,3,0.000,6,6,1.000,1,2,3,0,1,1,5,2,10,0
Nikola Vucevic,,24,7,14,0.500,0,0,0.000,1,3,0.333,3,3,6,1,1,1,2,5,15,0
Romero Osby,,13,2,2,1.000,0,0,0.000,0,0,0.000,0,2,2,0,0,0,2,1,4,0
Solomon Jones,,4,1,2,0.500,0,1,0.000,0,0,0.000,1,0,1,1,0,0,0,1,2,0
Tobias Harris,,23,3,12,0.250,1,3,0.333,0,0,0.000,1,5,6,2,0,2,3,2,7,0
Victor Oladipo,,30,7,13,0.538,2,7,0.286,2,3,0.667,2,6,8,3,0,1,4,5,18,0
